MSISDN,Resource_Value,Resource_Type,Amount_Charged,Datetime_Charged
9230690127388,41,SMS,0,2023-09-05 01:12:39
9230759296495,41,Data,4,2024-03-20 09:57:34
9230195976999,14,Data,0,2023-07-24 12:11:31
9230199794288,8,Data,17,2024-10-09 17:04:55
9230279476066,37,SMS,0,2023-02-12 20:13:32
9230300480073,11,SMS,6,2024-11-02 19:44:24
9230865836147,51,Data,6,2023-07-10 23:08:15
9230521850876,132,Voice,16,2024-04-01 06:55:24
9230371331909,40,SMS,0,2023-02-08 15:56:30
9230320913591,76,Data,0,2024-11-02 08:40:28
9230376679320,87,Data,16,2024-06-17 11:05:21
9230181101498,23,SMS,0,2024-04-20 22:01:55
9230116725380,3,Data,9,2023-09-02 20:07:38
9230453084420,34,SMS,0,2024-08-07 12:50:40
9230756956744,256,Voice,2,2023-02-16 19:30:54
9230320913591,9,SMS,0,2023-09-09 23:41:09
9230338505901,18,SMS,0,2024-07-30 16:17:03
9230659891639,28,Data,20,2023-07-23 18:42:12
9230461913145,2,SMS,10,2024-08-16 04:20:59
9230590622845,161,Voice,18,2024-05-06 01:46:05
9230719228714,53,Data,0,2023-11-22 00:07:44
9230284966704,97,Data,12,2023-08-28 16:51:48
9230758196297,5,Data,17,2023-07-08 03:50:20
9230804972100,225,Voice,5,2023-04-17 11:42:51
9230338854256,10,Data,18,2024-04-30 07:22:08
9230879503904,132,Voice,0,2024-04-03 02:27:11
9230380831002,6,SMS,19,2024-07-13 13:05:19
9230297855405,79,Voice,0,2024-08-31 09:44:29
9230913067921,8,Data,0,2024-03-21 19:38:31
9230877452953,10,Data,19,2024-01-29 10:59:17
9230181232816,3,SMS,9,2023-10-16 09:32:39
9230110752086,263,Voice,0,2023-12-11 03:03:38
9230993414106,9,Voice,0,2023-12-29 16:23:01
9230613161747,48,SMS,0,2023-02-26 02:06:16
9230221414651,22,SMS,3,2023-06-04 07:43:17
9230220901940,27,Voice,10,2024-09-18 02:37:51
9230509493265,42,Data,18,2024-02-23 04:54:46
9230130432269,32,SMS,0,2024-07-28 11:17:44
9230320913591,9,SMS,0,2023-12-25 07:40:14
9230445974479,18,Data,3,2024-09-22 04:05:33
9230999762562,43,SMS,2,2024-10-14 11:37:54
9230542774756,91,Voice,0,2024-12-10 07:56:41
9230841273951,21,Data,12,2023-03-13 14:31:00
9230265833817,25,Data,0,2024-04-06 19:10:46
9230440406252,51,Data,19,2023-11-26 07:57:43
9230764380110,5,Voice,0,2023-02-24 13:44:36
9230542774756,34,SMS,0,2024-07-02 08:47:47
9230952507106,49,Voice,16,2024-10-29 18:37:26
9230347659110,295,Voice,0,2024-07-01 13:19:29
9230929167854,10,Voice,0,2023-07-24 05:51:27
9230734119779,25,SMS,5,2023-08-29 02:28:23
9230531073886,10,Voice,19,2024-04-25 07:43:35
9230884555194,50,SMS,6,2024-07-05 09:23:05
9230951046596,3,Voice,6,2023-12-25 20:47:52
9230231393360,42,Data,0,2024-02-06 16:07:21
9230428352927,78,Voice,0,2024-11-07 18:26:05
9230483525064,6,Data,1,2024-05-05 02:12:14
9230590622845,214,Voice,0,2023-01-08 17:28:06
9230671758459,18,SMS,15,2023-01-24 08:22:23
9230239925602,10,SMS,0,2023-12-29 01:10:35
9230759262037,215,Voice,5,2024-12-28 10:15:47
9230469090751,169,Voice,0,2023-10-05 15:18:59
9230276004324,14,SMS,18,2024-03-13 10:56:22
9230544164977,1,Data,0,2023-12-19 07:39:33
9230610000463,211,Voice,10,2024-10-26 22:44:08
9230501743542,1,SMS,5,2023-05-12 08:58:24
9230150956349,4,SMS,17,2024-04-29 03:50:14
9230965222030,50,SMS,0,2024-02-16 14:39:50
9230328855785,276,Voice,6,2024-06-23 13:41:21
9230469090751,98,Data,12,2023-10-20 08:00:34
9230340148689,74,Data,16,2024-04-10 11:17:06
9230156332171,21,SMS,5,2024-01-01 12:21:27
9230691534638,14,SMS,0,2023-08-23 00:07:09
9230347659110,244,Voice,4,2023-12-08 09:44:35
9230460235560,88,Data,0,2023-01-22 08:58:39
9230644375655,45,Data,0,2023-11-13 01:09:15
9230279476066,108,Voice,0,2024-05-29 06:48:48
9230533971297,60,Voice,0,2024-04-01 01:44:35
9230595811548,28,SMS,15,2024-05-28 07:12:08
9230135736693,88,Voice,0,2024-10-08 19:10:06
9230942028822,7,Data,18,2024-04-02 22:01:54
9230951173620,24,SMS,4,2023-12-01 14:23:37
9230128026064,10,Data,3,2023-09-26 02:55:50
9230732582752,32,SMS,0,2024-08-17 18:48:39
9230541679053,31,Data,0,2024-01-08 21:05:24
9230710465361,227,Voice,20,2024-09-27 14:19:56
9230461913145,20,Voice,0,2023-08-15 14:45:00
9230762083350,229,Voice,2,2024-09-05 12:07:37
9230364676464,73,Voice,0,2024-03-30 22:36:19
9230458233434,141,Voice,0,2024-07-07 06:05:13
9230859659207,36,SMS,15,2024-06-26 18:23:29
9230538552061,32,SMS,3,2023-04-04 05:12:51
9230368714655,195,Voice,0,2023-10-26 16:35:21
9230758196297,92,Voice,10,2024-02-24 06:25:13
9230284966704,9,SMS,15,2023-02-18 06:46:24
9230483525064,89,Voice,0,2023-12-21 10:23:46
9230877924960,166,Voice,0,2024-07-12 18:45:29
9230172475544,129,Voice,3,2023-04-23 18:31:35
9230913469186,188,Voice,0,2023-11-18 00:05:06
9230135736693,31,Voice,0,2023-10-20 03:18:11
9230869170025,92,Data,0,2023-01-19 19:29:13
9230383558530,73,Voice,0,2024-12-22 00:03:28
9230865836147,147,Voice,0,2023-05-08 12:31:47
9230843939004,90,Data,20,2024-02-29 09:41:48
9230999762562,131,Voice,18,2024-05-30 05:38:34
9230267833934,154,Voice,8,2023-10-30 03:44:35
9230693732136,3,Data,19,2023-01-09 08:07:41
9230701523260,140,Voice,0,2024-11-12 02:48:58
9230750008450,88,Data,0,2023-08-01 01:52:34
9230980574168,41,SMS,10,2023-04-07 10:20:15
9230626020914,20,SMS,0,2023-11-30 05:13:07
9230784359368,25,Data,8,2023-12-16 01:08:48
9230292005339,82,Data,12,2023-07-20 11:52:07
9230940913341,149,Voice,0,2024-12-10 20:11:22
9230483063262,69,Voice,4,2024-11-30 22:19:05
9230538552061,4,SMS,0,2024-04-30 03:15:57
9230161844343,3,SMS,0,2024-11-12 10:13:52
9230848893085,25,SMS,0,2024-11-16 07:47:54
9230993322733,31,SMS,0,2024-03-21 03:28:07
9230185115570,84,Data,4,2023-04-28 12:50:31
9230633703313,46,SMS,3,2023-05-25 03:51:06
9230108807547,16,Data,0,2023-07-27 09:28:40
9230545817301,202,Voice,13,2023-12-17 20:20:41
9230328855785,20,SMS,7,2023-06-16 23:58:20
9230259441946,26,Data,8,2023-03-12 16:17:45
9230644375655,1,Data,19,2024-02-21 16:53:57
9230504769021,10,SMS,5,2024-12-03 05:40:32
9230870299395,9,Data,18,2024-10-12 20:43:29
9230262593890,79,Data,15,2023-11-05 06:26:32
9230913469186,11,SMS,0,2023-10-18 07:37:17
9230428352927,15,SMS,0,2023-07-18 09:22:19
9230838747192,29,SMS,0,2024-05-26 07:56:31
9230843939004,6,SMS,0,2024-02-27 07:39:18
9230838747192,27,Data,17,2024-09-09 00:55:56
9230830363551,36,Data,5,2023-07-29 08:12:07
9230621495764,176,Voice,4,2024-06-03 21:46:26
9230401465493,81,Voice,9,2023-05-13 19:31:01
9230279476066,27,SMS,0,2024-06-28 08:01:55
9230823544998,37,SMS,0,2023-07-14 21:15:25
9230156332171,19,SMS,0,2024-04-13 23:36:32
9230539361665,9,SMS,4,2024-11-01 23:19:22
9230615495383,23,Data,3,2024-09-06 05:47:33
9230336452998,43,SMS,18,2024-04-16 11:32:28
9230218302795,22,SMS,5,2024-07-16 14:22:14
9230801432971,9,Data,17,2023-11-17 18:07:11
9230325454471,33,Data,0,2024-09-23 23:29:10
9230533562002,25,Data,0,2024-10-01 04:06:27
9230901697602,12,SMS,20,2024-12-29 10:43:24
9230993322733,65,Voice,18,2023-09-11 03:43:43
9230375319344,36,SMS,16,2024-11-19 21:22:15
9230372079637,17,Voice,0,2023-07-01 03:26:57
9230798629373,172,Voice,0,2024-02-14 13:46:01
9230695127231,50,Data,0,2023-11-10 22:54:47
9230302161434,44,Data,0,2023-07-07 16:18:20
9230951173620,48,Data,11,2023-11-29 15:05:47
9230320913591,10,SMS,18,2023-09-09 12:02:44
9230189367566,38,Data,15,2023-06-27 20:09:39
9230740178078,37,SMS,0,2024-02-21 02:02:33
9230218302795,10,SMS,10,2024-03-21 10:12:25
9230663695123,70,Data,15,2024-11-14 13:48:20
9230184750806,98,Data,0,2024-02-22 16:09:21
9230108807547,37,SMS,18,2023-09-02 03:13:16
9230996629579,274,Voice,0,2023-02-22 22:06:08
9230504769021,116,Voice,3,2024-05-26 10:24:53
9230407100763,109,Voice,0,2023-11-14 17:52:30
9230555117124,53,Data,0,2024-07-09 12:42:51
9230934702779,53,Data,13,2023-06-16 09:29:19
9230663695123,3,SMS,2,2024-07-23 09:39:40
9230816548778,30,SMS,0,2023-10-10 20:24:03
9230838747192,64,Voice,7,2023-10-26 03:27:51
9230942028822,228,Voice,0,2024-08-03 16:20:27
9230483525064,56,Data,4,2023-10-21 12:44:28
9230210475028,40,SMS,17,2023-05-17 22:56:13
9230894240000,38,SMS,0,2023-12-02 07:49:46
9230161844343,216,Voice,19,2023-06-27 08:50:28
9230750008450,50,SMS,0,2024-02-10 22:33:33
9230975398588,92,Data,0,2023-01-24 23:53:57
9230108807547,29,SMS,16,2023-11-22 01:38:35
9230927069977,279,Voice,13,2024-09-01 18:30:15
9230838747192,55,Data,1,2024-07-25 19:21:48
9230535496574,20,SMS,0,2023-07-02 08:57:48
9230678073159,45,SMS,4,2023-09-26 05:45:17
9230140927318,180,Voice,0,2023-12-22 04:16:50
9230783931863,50,Data,15,2023-11-05 10:51:58
9230407015189,71,Data,0,2023-01-13 23:49:06
9230291832784,39,Data,0,2024-04-12 14:20:33
9230182771385,36,Data,7,2023-05-08 04:30:34
9230265833817,34,Data,10,2024-09-09 09:04:21
9230747965604,24,SMS,17,2023-02-19 12:56:15
9230901697602,85,Data,10,2024-04-15 07:36:52
9230639362130,148,Voice,17,2024-01-07 07:25:36
9230407015189,26,SMS,0,2024-11-25 03:01:16
9230989253929,20,Data,1,2024-04-20 19:57:35
9230265833817,6,SMS,11,2023-05-13 22:10:33
9230108284824,53,Voice,0,2023-10-27 23:06:06
9230865562600,16,SMS,0,2023-09-27 17:23:24
9230696877696,46,SMS,18,2024-04-05 19:00:41
9230999762562,88,Data,2,2023-09-07 20:17:18
9230199794288,141,Voice,0,2024-06-02 03:01:36
9230545817301,97,Data,14,2024-02-13 07:55:03
9230530607842,53,Data,19,2024-11-26 00:36:21
9230613161747,261,Voice,0,2024-12-27 05:10:14
9230289915767,19,SMS,0,2023-10-08 09:15:33
9230707794631,12,SMS,14,2023-06-04 22:45:24
9230965222030,82,Data,3,2024-11-11 22:56:13
9230533971297,23,Data,0,2024-03-26 10:12:59
9230347659110,96,Data,16,2024-07-17 10:48:39
9230681869488,69,Data,0,2024-02-12 20:54:07
9230136370951,94,Data,0,2024-06-16 02:51:41
9230671758459,22,Voice,0,2023-10-18 21:25:32
9230898156533,23,SMS,20,2023-04-30 08:48:35
9230877653565,163,Voice,0,2024-04-18 11:06:37
9230857792434,26,SMS,0,2024-01-01 19:13:39
9230917703637,37,SMS,11,2024-03-07 11:12:00
9230878531833,93,Voice,0,2023-09-30 16:57:48
9230677273280,32,Voice,10,2024-12-18 20:09:28
9230372387956,35,Data,0,2023-04-23 05:41:07
9230531683554,17,Data,9,2023-04-16 21:14:46
9230542774756,120,Voice,0,2024-06-26 22:01:50
9230844863890,18,SMS,0,2023-05-10 17:18:04
9230693732136,100,Data,19,2024-02-05 14:58:52
9230243910318,26,SMS,0,2024-04-16 08:29:07
9230938865042,16,Data,7,2024-08-20 17:28:41
9230208786773,104,Voice,0,2024-06-09 23:29:46
9230996583212,1,SMS,10,2023-02-24 08:04:14
9230322336485,133,Voice,7,2023-12-27 11:38:04
9230203803040,42,Voice,18,2023-08-19 08:22:45
9230759262037,81,Voice,19,2023-08-13 01:25:25
9230751286997,7,SMS,12,2023-02-17 13:06:41
9230213698765,27,SMS,0,2023-11-04 13:46:18
9230141002657,45,Voice,18,2023-08-09 11:42:25
9230691534638,32,SMS,0,2024-02-28 08:23:59
9230308743962,31,Voice,0,2024-07-09 09:45:48
9230284527343,2,SMS,4,2024-02-07 13:36:21
9230169412325,11,Data,7,2023-11-04 08:10:08
9230307828705,167,Voice,15,2024-01-16 10:02:54
9230191688658,36,SMS,0,2023-08-09 04:19:48
9230701523260,27,Data,0,2024-11-25 13:30:41
9230252568240,91,Data,0,2024-09-15 02:31:21
9230515578106,30,SMS,5,2024-10-15 05:34:00
9230701523260,73,Data,9,2024-05-27 04:57:37
9230231393360,93,Data,15,2024-04-03 16:53:42
9230300480073,33,SMS,17,2023-06-02 17:52:41
9230584816103,72,Data,0,2023-10-26 17:30:01
9230131679184,7,Data,0,2023-11-09 04:38:59
9230463124616,6,SMS,0,2024-03-19 11:46:21
9230532570407,7,SMS,1,2024-08-01 17:50:18
9230135736693,3,SMS,11,2023-01-24 07:25:22
9230323323380,193,Voice,16,2024-04-25 09:49:47
9230522252850,26,Data,0,2023-01-10 06:52:22
9230717631811,38,SMS,0,2024-07-28 13:51:40
9230128026064,12,SMS,13,2023-07-25 02:57:23
9230213698765,93,Voice,0,2023-11-22 17:31:02
9230502363761,21,Data,0,2024-01-25 15:06:14
9230131213667,23,SMS,0,2024-04-03 05:58:40
9230166511912,37,Data,0,2023-12-25 08:43:38
9230172475544,113,Voice,0,2023-09-03 12:00:34
9230116725380,47,Voice,2,2024-09-29 08:36:16
9230237322715,45,Data,0,2023-07-04 10:55:43
9230110752086,182,Voice,8,2024-09-29 03:22:59
9230482635548,79,Voice,0,2023-03-30 02:26:49
9230608797513,10,Data,14,2023-07-04 01:01:31
9230949423190,27,SMS,3,2024-11-24 05:56:20
9230243910318,28,SMS,20,2024-11-10 04:51:56
9230845739714,17,Data,0,2023-08-29 03:05:10
9230401971867,52,Data,0,2023-05-05 03:32:58
9230349006281,15,SMS,17,2023-01-24 23:40:46
9230582875040,19,Voice,0,2023-11-14 07:00:24
9230424681184,3,Data,0,2024-05-13 10:50:59
9230140927318,53,Data,20,2024-09-04 01:18:16
9230996629579,11,SMS,0,2023-12-08 23:38:05
9230859659207,49,SMS,5,2023-12-17 15:22:22
9230380721970,26,SMS,0,2024-02-17 19:14:52
9230854996962,283,Voice,17,2024-06-15 23:29:39
9230899644989,66,Data,18,2024-05-28 09:34:55
9230429988720,95,Data,17,2023-05-27 08:58:40
9230423959650,18,SMS,0,2023-03-28 17:56:34
9230797852798,125,Voice,0,2024-03-09 17:13:48
9230782878829,22,SMS,3,2023-02-24 23:54:16
9230397501087,9,SMS,8,2024-11-03 11:03:11
9230839186102,47,Data,1,2023-12-25 02:48:47
9230336452998,25,Voice,0,2023-05-07 21:16:31
9230553625236,122,Voice,15,2023-12-13 08:34:06
9230453084420,256,Voice,17,2023-04-21 04:52:28
9230270449680,178,Voice,0,2023-12-16 13:36:19
9230224556190,64,Data,5,2023-05-08 00:29:44
9230532570407,77,Data,6,2024-04-17 15:05:43
9230101039883,35,Data,4,2024-08-22 23:03:32
9230390393385,39,SMS,17,2023-01-11 23:23:47
9230693732136,92,Data,0,2024-11-10 15:21:16
9230879557130,271,Voice,0,2024-02-25 17:14:20
9230829631581,43,Data,0,2023-05-05 07:02:11
9230164904391,39,SMS,12,2023-03-22 08:36:30
9230701523260,23,SMS,0,2024-07-29 18:28:05
9230681869488,86,Voice,0,2024-04-26 01:18:38
9230544164977,76,Data,6,2023-10-22 06:48:44
9230584157454,12,SMS,0,2023-01-02 10:54:58
9230904602671,114,Voice,0,2024-11-09 10:54:30
9230265833817,64,Data,0,2024-03-23 10:44:07
9230210475028,15,Data,8,2023-02-21 12:20:43
9230676813795,35,Data,0,2023-10-27 10:04:08
9230430137914,2,Data,0,2023-08-15 21:04:13
9230757247005,49,Data,0,2024-02-16 19:33:13
9230218302795,23,Data,0,2023-12-16 23:30:54
9230587001801,95,Data,0,2024-12-21 05:30:40
9230492437848,5,SMS,0,2023-01-08 06:18:02
9230223870632,22,SMS,0,2024-01-02 13:01:58
9230135697838,143,Voice,0,2024-01-30 07:41:54
9230858271073,6,SMS,3,2024-11-09 07:16:24
9230130432269,44,SMS,0,2024-03-12 05:00:47
9230949423190,31,SMS,10,2024-12-31 12:59:34
9230368714655,26,SMS,15,2024-10-18 08:37:40
9230104488435,100,Data,0,2023-11-21 23:42:56
9230715340104,96,Voice,9,2023-02-20 06:16:53
9230671681911,160,Voice,0,2024-12-16 13:36:25
9230991595287,36,SMS,6,2024-11-01 20:35:17
9230277713469,58,Data,16,2024-07-08 11:01:33
9230648571772,31,Data,10,2023-03-21 06:54:46
9230172475544,77,Data,11,2023-07-17 07:45:03
9230364676464,210,Voice,7,2024-12-30 15:45:43
9230816548778,34,SMS,0,2023-01-02 07:21:11
9230859659207,80,Data,0,2024-06-07 22:14:08
9230277017963,11,Data,10,2023-06-09 16:20:22
9230798629373,140,Voice,0,2023-11-22 06:28:45
9230639362130,23,Data,17,2023-05-15 00:45:03
9230531073886,236,Voice,0,2023-03-03 01:50:22
9230782878829,41,SMS,0,2023-05-27 05:53:19
9230621495764,10,Data,0,2024-05-14 12:26:16
9230177089747,3,Data,0,2023-11-30 09:25:07
9230750008450,224,Voice,7,2023-09-02 02:20:46
9230882185417,96,Data,0,2024-03-16 08:40:12
9230784359368,21,SMS,0,2024-09-06 18:17:31
9230877924960,33,SMS,9,2024-06-08 03:12:00
9230386899259,265,Voice,8,2023-02-06 05:10:30
9230676813795,3,Data,6,2024-08-05 09:41:23
9230958106815,38,SMS,0,2023-12-21 09:10:23
9230801432971,29,SMS,0,2023-07-05 06:52:13
9230460235560,59,Data,8,2023-08-05 11:57:44
9230784359368,32,SMS,0,2023-06-15 18:36:27
9230457133173,96,Data,0,2024-04-14 07:39:43
9230531073886,150,Voice,0,2024-07-30 06:28:59
9230347659110,212,Voice,16,2023-01-09 15:51:08
9230525329325,111,Voice,0,2024-10-17 20:20:48
9230759262037,126,Voice,0,2023-04-24 06:16:08
9230728340344,18,Data,3,2023-11-11 17:26:11
9230879503904,26,Data,0,2023-01-20 11:58:23
9230676813795,230,Voice,0,2024-12-21 14:49:27
9230397501087,1,SMS,2,2024-06-21 10:35:15
9230974624965,184,Voice,0,2023-05-27 13:57:27
9230369808467,38,SMS,0,2024-09-14 21:12:14
9230237841298,8,SMS,5,2023-10-18 01:29:46
9230609873958,1,Data,19,2023-04-04 18:59:53
9230408988930,15,Data,5,2023-12-06 17:46:50
9230747965604,84,Data,3,2024-11-24 09:36:31
9230491718472,98,Data,0,2024-10-21 20:16:56
9230383558530,1,SMS,9,2023-01-20 20:13:58
9230364676464,3,Voice,0,2023-03-20 05:01:04
9230237841298,35,Data,11,2023-04-15 14:07:03
9230744398113,34,SMS,0,2023-02-01 05:37:48
9230924151654,247,Voice,5,2024-11-28 02:20:34
9230829631581,41,Data,14,2024-04-05 06:30:05
9230490717091,55,Data,16,2023-01-09 03:30:06
9230161844343,267,Voice,18,2023-08-31 21:35:46
9230731598505,47,SMS,9,2024-06-18 02:05:03
9230463124616,29,SMS,0,2023-11-15 15:40:43
9230877653565,75,Data,17,2024-03-28 03:26:40
9230545817301,14,SMS,9,2024-08-31 19:31:19
9230296988060,66,Voice,0,2023-08-01 03:05:05
9230289915767,21,SMS,0,2023-11-07 06:58:13
9230882185417,169,Voice,0,2023-11-27 10:44:31
9230453084420,7,SMS,5,2023-12-08 08:42:25
9230135697838,73,Data,9,2023-12-30 00:06:40
9230380831002,22,Data,0,2024-06-15 04:31:11
9230206172868,50,Data,0,2023-12-29 16:30:00
9230214230900,30,SMS,20,2024-07-22 09:04:25
9230734119779,11,SMS,11,2024-04-08 06:59:11
9230277146142,14,SMS,14,2024-12-12 07:03:33
9230538379054,47,Data,0,2023-07-10 10:13:46
9230490717091,6,Data,8,2024-06-08 18:11:34
9230132527460,23,SMS,19,2023-03-30 10:43:07
9230498727181,30,Voice,0,2024-02-21 08:40:35
9230701523260,15,Data,7,2023-02-08 12:59:11
9230734328465,40,Data,0,2023-05-17 12:20:50
9230582875040,37,SMS,0,2023-07-22 05:51:15
9230284966704,20,SMS,0,2024-07-26 07:54:22
9230181232816,87,Data,0,2024-05-31 03:34:05
9230912538628,49,SMS,0,2023-10-13 06:42:36
9230150956349,31,Data,13,2024-12-29 10:10:47
9230655468230,94,Data,0,2023-04-22 13:55:24
9230369808467,25,Data,7,2024-12-11 01:56:00
9230799348185,160,Voice,0,2024-11-01 22:17:46
9230377808000,10,SMS,0,2023-02-10 19:29:06
9230538379054,1,SMS,0,2024-11-29 16:49:17
9230347659110,58,Voice,7,2024-01-02 12:14:21
9230270449680,75,Data,8,2023-06-08 16:24:06
9230533971297,95,Data,17,2023-05-11 15:40:02
9230998618451,67,Voice,0,2023-03-04 11:07:04
9230102123429,7,SMS,2,2023-12-03 06:19:52
9230277017963,84,Voice,10,2023-06-24 08:13:06
9230829631581,84,Voice,16,2023-04-28 13:40:47
9230966239325,74,Data,0,2024-12-10 14:01:36
9230277146142,167,Voice,15,2024-11-21 04:35:42
9230175549082,47,SMS,15,2023-11-18 04:13:03
9230291832784,235,Voice,8,2024-12-01 04:05:49
9230991595287,77,Voice,17,2023-02-07 06:47:06
9230710465361,231,Voice,0,2024-03-19 12:31:23
9230927069977,7,Data,0,2023-03-07 06:39:21
9230728340344,81,Data,10,2023-03-31 23:04:12
9230260106137,151,Voice,0,2024-12-24 15:32:40
9230324505412,43,Data,8,2023-05-26 11:22:43
9230815165481,37,Data,15,2024-07-21 08:22:53
9230793158951,34,SMS,0,2024-03-13 20:36:31
9230884555194,159,Voice,1,2023-12-02 09:05:39
9230461913145,115,Voice,0,2024-03-29 23:16:53
9230940913341,129,Voice,0,2023-11-19 08:14:26
9230359400406,295,Voice,11,2024-03-01 03:14:35
9230857792434,6,Data,1,2024-07-14 09:46:38
9230768882619,18,Data,5,2024-01-23 01:49:43
9230108284824,10,SMS,18,2023-02-27 08:08:07
9230172475544,7,Data,2,2023-12-05 12:33:41
9230917703637,1,SMS,0,2024-12-29 19:04:31
9230289915767,19,SMS,0,2023-12-26 22:29:20
9230428352927,7,Data,12,2024-12-13 18:20:45
9230386899259,73,Data,0,2024-09-07 16:18:23
9230150956349,205,Voice,0,2023-06-19 01:49:09
9230386899259,110,Voice,0,2024-06-29 05:34:30
9230793158951,84,Voice,2,2023-11-14 18:11:50
9230221414651,47,SMS,12,2024-05-16 13:40:00
9230677273280,80,Data,0,2024-03-16 08:44:43
9230691534638,2,Data,2,2024-06-14 04:03:20
9230838747192,46,Data,0,2023-08-20 18:53:10
9230289915767,221,Voice,20,2023-03-30 23:38:57
