MSISDN,Data_Browsing_Allowance,SMS_Allowance,Voice_On-Net_Allowance,Voice_Off-Net_Allowance,Data_Social_Allowance,Datetime,Amount
9230649026167,8026,693,182,223,2446,2024-07-24 01:14:35,823
9230649026167,8261,508,436,232,2663,2024-02-07 12:03:43,367
9230736702569,9789,712,108,24,2614,2024-02-17 09:04:35,106
9230492437848,9027,221,481,54,2739,2024-01-10 22:33:46,597
9230518716541,7369,636,126,130,2416,2024-10-24 22:25:10,590
9230877924960,1331,585,195,209,740,2023-10-20 06:52:04,658
9230191688658,4122,375,165,131,2109,2023-05-11 07:45:00,587
9230703883514,9144,623,310,207,2530,2024-03-31 11:20:11,139
9230626020914,8859,379,254,106,2373,2024-04-29 11:03:41,86
9230710465361,1025,604,435,179,953,2023-07-15 17:03:39,229
9230693732136,5205,718,374,28,880,2024-08-14 15:36:10,669
9230865836147,4295,907,277,291,2391,2023-05-16 04:16:25,635
9230693732136,4086,825,285,273,2743,2024-05-04 11:22:43,246
9230349006281,1027,889,105,258,1045,2024-08-01 23:55:42,816
9230582461373,1371,302,299,25,1866,2024-08-21 02:55:41,313
9230372079637,614,570,421,96,809,2024-08-30 14:19:26,516
9230889042748,7633,991,482,123,353,2023-06-03 02:10:38,278
9230232190327,7549,754,306,166,1566,2024-02-29 13:21:22,497
9230773751253,2658,519,412,38,996,2024-04-18 11:48:46,839
9230363807566,4742,113,191,212,388,2024-09-07 19:31:25,262
9230132527460,2947,540,196,44,2209,2024-07-15 07:27:43,698
9230740178078,1858,263,422,53,1662,2024-08-07 10:27:53,908
9230262593890,7867,938,66,272,1393,2024-11-13 12:40:41,69
9230233566905,3769,202,384,48,768,2023-07-24 21:11:50,475
9230801432971,4682,346,313,207,2162,2023-01-17 06:07:05,169
9230297542011,2558,589,163,199,1134,2024-08-12 02:56:53,858
9230383558530,8133,163,285,120,1647,2023-03-04 15:13:33,94
9230578964248,4077,897,496,216,2172,2024-09-07 10:57:37,69
9230560138149,6617,100,449,246,975,2024-09-29 04:43:56,661
9230293952148,2097,241,135,174,2209,2024-10-28 16:54:31,469
9230841273951,4986,208,301,205,427,2023-02-15 19:08:03,584
9230135697838,2734,202,58,149,2623,2024-09-13 18:29:26,126
9230484748077,2227,636,183,68,1437,2023-03-22 01:27:08,840
9230457133173,4342,902,292,253,2271,2024-04-27 09:47:24,902
9230859659207,1729,886,96,191,1118,2024-05-07 18:06:44,506
9230130862663,9423,613,88,236,2722,2023-09-08 11:39:41,681
9230375319344,5546,472,188,110,2119,2024-06-21 02:51:43,700
9230386899259,6475,624,245,242,1740,2024-04-14 22:55:19,280
9230801432971,3829,571,339,280,2864,2024-11-05 14:26:15,651
9230691534638,7769,417,215,235,770,2024-02-19 20:45:06,115
9230265833817,7271,903,87,104,695,2024-09-21 22:17:47,291
9230935333762,3771,602,204,36,723,2023-04-24 12:24:19,868
9230395884015,2669,749,448,252,251,2023-12-02 04:39:51,492
9230498727181,872,814,320,113,864,2024-07-31 14:01:37,213
9230804848289,6897,787,480,158,1916,2024-03-12 15:11:21,900
9230531073886,4026,490,355,177,1310,2023-08-01 06:17:40,466
9230445523109,4034,485,476,137,2290,2023-09-07 00:31:17,855
9230189367566,4191,462,313,186,1259,2024-04-25 12:02:31,902
9230284966704,2185,614,452,80,854,2024-10-15 01:05:24,804
9230248021475,5715,782,379,129,421,2024-05-15 13:16:16,924
9230406147934,5313,278,201,259,2607,2023-11-25 17:05:28,157
9230879557130,1975,401,216,170,1092,2023-11-25 01:16:14,201
9230693732136,3186,608,307,237,2921,2023-12-05 22:27:12,932
9230368714655,5992,371,384,160,303,2023-11-26 01:25:50,429
9230718459155,2338,310,142,294,2369,2024-04-29 17:53:06,167
9230951173620,765,359,215,145,2735,2024-10-30 23:13:11,220
9230488909528,7923,302,339,198,2893,2023-04-04 13:50:15,229
9230242009124,5276,335,397,42,2660,2023-07-12 18:59:03,676
9230975398588,8769,654,433,253,1198,2024-12-26 09:24:25,625
9230782878829,791,617,299,239,280,2024-06-22 00:27:30,352
9230894240000,3358,598,493,287,1167,2023-03-30 15:41:50,59
9230369808467,4304,603,64,194,2691,2023-11-22 17:19:23,440
9230744398113,9821,158,236,96,2721,2023-03-05 16:34:03,948
9230237322715,9260,174,107,292,2417,2023-08-15 17:27:27,577
9230841273951,1716,758,236,281,1614,2023-03-07 19:07:56,498
9230926844978,840,839,363,32,2985,2023-02-25 01:50:17,668
9230659891639,6895,716,204,181,2611,2023-01-30 19:08:19,856
9230927917724,7300,968,375,108,1523,2024-05-17 12:04:22,310
9230913662608,8129,399,230,219,2168,2023-06-14 06:25:32,415
9230536743904,1346,632,345,267,371,2023-02-13 11:35:34,788
9230533562002,6031,723,82,63,1528,2023-02-27 01:19:22,667
9230898156533,8294,621,279,104,2274,2024-05-21 06:11:47,587
9230177089747,3666,373,331,56,840,2023-05-28 00:34:39,632
9230625617252,9730,173,462,206,2050,2023-09-02 08:51:20,830
9230518716541,6857,464,217,173,2450,2023-03-15 21:24:53,896
9230134569915,7200,412,252,162,841,2024-10-05 03:49:21,861
9230283219045,5274,337,475,45,2012,2023-06-04 15:03:32,154
9230324505412,8020,691,66,75,2041,2024-11-24 08:11:50,348
9230411287976,2253,162,330,292,2884,2024-02-12 04:51:09,800
9230533971297,6063,906,477,147,1164,2023-05-08 10:39:38,714
9230957219651,581,355,55,170,1948,2023-06-29 13:37:48,431
9230549696488,9634,649,494,146,2007,2023-04-13 12:24:09,128
9230128026064,3327,528,95,205,2756,2024-12-14 23:04:42,977
9230386899259,8492,198,189,83,2336,2024-12-26 10:20:46,428
9230874591636,1127,870,326,211,1750,2023-12-10 06:21:12,613
9230532570407,1841,827,283,74,1532,2023-09-22 09:58:02,383
9230590622845,3906,643,236,282,1271,2023-06-01 22:48:32,616
9230901697602,2670,362,246,272,2614,2024-06-10 12:23:10,134
9230407100763,679,733,156,114,1813,2023-10-08 01:35:00,595
9230239925602,9808,210,326,196,678,2024-04-21 19:45:11,338
9230416880924,5124,580,442,150,1605,2024-04-13 10:27:49,82
9230182771385,1849,559,279,81,1706,2024-04-08 23:10:52,481
9230498727181,2103,188,169,263,2402,2023-10-07 17:34:40,321
9230993322733,2999,968,493,118,1056,2023-08-30 00:07:15,563
9230210475028,2628,370,438,190,2354,2024-11-19 03:18:22,734
9230113042916,5103,368,306,224,2103,2023-04-01 21:47:58,974
9230538379054,4448,317,164,56,1742,2023-03-22 01:02:50,163
9230430137914,9236,704,113,275,475,2023-08-20 22:24:20,777
9230734656004,7799,409,172,269,1651,2023-05-01 10:30:37,335
9230894993614,8935,882,445,116,2997,2023-12-09 09:08:59,128
9230854996962,1246,311,129,274,1531,2024-03-13 23:52:08,980
9230166511912,2936,692,89,184,379,2023-02-09 19:43:54,473
9230232190327,6894,273,459,138,1711,2023-09-11 20:50:11,917
9230901697602,7342,316,225,156,1839,2023-05-21 20:36:07,616
9230156332171,2988,593,394,253,2302,2023-11-29 07:28:13,460
9230771370719,9199,265,455,56,661,2024-05-09 04:33:53,151
9230712491291,4927,386,431,174,870,2024-08-21 09:36:00,159
9230453084420,4859,414,113,156,1720,2024-04-25 16:40:34,597
9230750008450,3171,861,111,29,2532,2023-05-08 12:05:49,994
9230906222160,5997,392,423,77,718,2023-04-02 01:27:29,532
9230575260490,7816,991,170,235,1159,2024-11-24 00:09:35,522
9230156332171,6052,604,304,270,2495,2024-12-11 00:27:53,379
9230297580025,1344,902,260,288,929,2023-12-31 01:05:46,869
9230805812231,3766,393,487,276,2587,2024-08-24 08:07:45,260
9230479530239,1731,707,187,180,2352,2023-02-10 08:05:19,247
9230949419871,7854,853,356,194,543,2023-09-18 07:54:46,450
9230232190327,3914,883,99,75,2280,2023-04-19 04:58:05,887
9230308743962,1573,447,106,135,2199,2023-12-11 05:11:50,822
9230636066934,8989,807,387,104,393,2024-08-19 23:53:36,124
9230504769021,3300,563,315,214,372,2023-01-05 18:26:03,719
9230498727181,3821,903,58,122,485,2023-07-28 16:05:21,345
9230636066934,9371,903,326,135,1674,2024-09-01 22:00:49,591
9230513601178,1530,428,450,107,1135,2023-03-21 07:00:18,928
9230526661255,2309,308,153,142,1431,2023-06-15 13:37:02,191
9230584157454,5125,625,109,256,2943,2024-10-22 09:18:03,842
9230354967134,4621,667,216,243,2479,2024-09-27 18:53:18,671
9230259441946,7962,857,274,150,2166,2023-08-07 20:36:59,344
9230578964248,4556,620,92,110,2636,2024-12-16 07:25:32,114
9230751286997,4202,146,88,69,1852,2023-09-12 01:43:39,466
9230681362355,6647,999,441,161,1740,2023-08-05 07:54:13,579
9230130432269,801,119,497,164,2715,2023-10-25 01:32:52,324
9230756956744,9997,840,457,156,2749,2023-10-14 14:12:55,426
9230863763764,9497,940,319,113,1170,2023-08-15 02:45:38,632
9230949419871,2958,860,441,107,1092,2023-10-21 20:59:51,615
9230770746433,9784,540,231,289,2739,2024-12-26 17:36:09,276
9230542774756,3975,230,494,227,2559,2023-08-10 20:42:15,745
9230383558530,3456,863,441,204,954,2024-03-20 18:15:57,329
9230135697838,2604,198,300,131,2607,2024-02-01 15:16:39,71
9230101039883,4996,560,318,247,1343,2024-06-09 03:58:13,714
9230801432971,6475,395,68,171,885,2023-10-16 16:48:45,613
9230929167854,4926,769,149,63,1387,2024-07-22 19:54:54,927
9230758196297,4527,804,113,205,2280,2023-07-12 07:48:46,62
9230164210176,7452,959,129,99,586,2024-09-14 07:23:52,806
9230206172868,1623,698,475,62,1848,2023-09-13 00:08:36,774
9230504769021,4029,649,202,88,1637,2023-01-10 14:20:36,245
9230829631581,5252,360,183,230,2230,2023-08-30 22:58:50,340
9230469090751,6541,883,112,104,682,2024-03-16 02:08:50,799
9230999762562,1848,149,283,145,983,2023-06-04 20:27:53,67
9230269592945,1477,997,364,194,1175,2023-10-11 05:12:32,718
9230583143146,2041,592,452,174,343,2024-08-25 19:55:17,530
9230174392318,5785,888,167,69,826,2023-05-17 04:46:12,125
9230353836706,8836,745,182,133,2773,2023-10-15 16:04:09,852
9230243910318,2354,388,156,54,2165,2023-06-02 08:03:40,841
9230134569915,1635,881,402,258,2656,2023-03-12 23:35:50,553
9230141002657,9415,846,493,101,232,2024-06-11 02:16:48,156
9230590622845,2084,827,416,84,727,2023-04-19 11:32:27,242
9230600587929,4924,911,159,173,2775,2023-02-28 20:11:58,986
9230541679053,9970,943,329,165,1008,2024-08-31 07:26:35,873
9230230356648,2340,686,415,49,2298,2024-11-28 21:42:37,613
9230265833817,6599,251,429,259,517,2023-03-12 20:44:36,549
9230286090141,8065,639,475,271,1701,2024-03-05 21:28:08,210
9230874591636,4288,397,93,235,2295,2023-07-12 08:29:04,685
9230277713469,539,820,436,142,2811,2024-09-25 16:19:27,552
9230691534638,8037,109,83,44,2685,2024-12-30 02:49:19,364
9230889042748,4098,199,481,292,646,2023-08-10 07:20:41,648
9230363807566,5246,772,210,177,2148,2024-08-30 03:20:53,691
9230952507106,7449,347,87,205,2848,2023-12-02 12:09:21,583
9230823544998,2410,815,365,104,1664,2024-08-04 17:30:45,603
9230484748077,6039,387,55,94,1430,2024-06-04 11:06:49,160
9230276660407,914,589,362,183,226,2023-11-26 14:21:15,1000
9230338505901,3582,629,195,36,2963,2023-06-04 20:56:26,592
9230510851164,3787,191,250,116,970,2023-03-10 08:40:21,121
9230533971297,6318,868,230,241,1190,2023-11-15 06:10:54,938
9230870299395,2740,197,168,208,254,2023-08-22 15:40:16,74
9230525329325,3490,286,473,173,932,2023-11-26 21:46:06,731
9230913067921,7664,956,141,28,1795,2023-09-16 06:29:59,635
9230894240000,1139,908,248,160,1639,2023-08-27 13:37:54,649
9230788912728,3529,511,335,170,2155,2024-06-15 08:59:24,933
9230830363551,8885,957,169,225,2963,2024-09-19 21:39:17,747
9230717631811,1787,580,451,130,2629,2024-02-28 10:19:45,265
9230218302795,4125,289,378,193,1468,2024-02-16 21:07:28,237
9230232190327,1599,379,172,39,2977,2023-02-15 20:47:41,456
9230270449680,7832,263,329,173,1457,2024-05-19 09:06:36,451
9230927069977,4775,499,82,275,639,2023-06-03 00:17:06,312
9230340061181,1423,223,499,218,2071,2023-01-14 16:54:24,894
9230460406713,1475,675,182,242,358,2024-10-26 07:56:59,824
9230993414106,5313,729,59,275,2338,2023-11-18 05:44:17,909
9230491725711,1737,523,205,70,2738,2024-10-11 19:30:04,416
9230131212541,3987,346,478,266,1626,2024-09-20 22:14:41,770
9230216678436,5446,309,483,61,2681,2024-02-10 17:38:32,853
9230758196297,4564,878,316,84,553,2024-09-19 21:58:56,204
9230202281036,4958,509,185,175,291,2023-01-24 17:17:31,438
9230397501087,4077,951,143,77,2055,2023-02-11 11:43:47,876
9230993414106,857,929,151,161,1640,2023-05-20 19:09:40,726
9230560138149,4935,639,227,89,985,2024-01-25 04:03:26,979
9230440406252,5963,630,409,200,1925,2023-07-31 10:37:30,464
9230701523260,7660,758,207,71,2256,2023-12-15 12:10:06,662
9230677273280,9340,815,121,84,2699,2023-12-31 04:03:25,611
9230101039883,3268,763,328,173,2805,2024-01-13 06:38:19,646
9230560138149,8321,445,104,127,1986,2023-12-15 19:31:41,294
9230104488435,8992,268,166,197,1611,2024-02-07 00:47:45,407
9230663695123,2961,980,228,263,440,2023-11-24 02:55:52,490
9230175549082,7836,504,275,222,755,2023-08-21 09:30:07,941
9230549696488,8502,430,270,164,467,2024-04-12 00:57:38,661
9230863903371,7462,772,438,192,2143,2023-12-17 12:38:39,942
9230610000463,4572,564,416,168,836,2024-11-06 15:50:55,912
9230221414651,8149,430,209,189,2528,2024-12-14 11:08:22,194
9230929167854,526,836,123,124,1390,2023-09-27 01:47:57,168
9230535496574,8906,591,68,261,2855,2024-09-30 12:57:55,462
9230489567018,8002,328,183,94,1716,2023-03-31 12:24:09,173
9230280094327,3672,288,151,126,897,2024-03-23 14:21:30,940
9230578964248,6741,451,399,57,2410,2023-03-21 18:21:59,193
9230382598306,5861,507,258,290,1497,2024-10-03 16:03:36,175
9230128262006,3710,107,205,48,2498,2023-10-16 15:37:02,577
9230924151654,6866,512,269,217,1772,2024-08-31 03:41:26,654
9230364676464,4672,761,170,50,1703,2024-08-02 21:49:46,671
9230783931863,3163,695,81,300,2381,2024-12-21 22:53:20,168
9230380831002,7928,734,490,73,2616,2024-03-28 09:52:31,977
9230663695123,8123,111,244,239,1667,2024-08-14 08:47:54,487
9230296988060,3208,753,244,93,2955,2024-10-10 22:39:07,528
9230996583212,6093,162,71,297,2743,2024-10-02 19:07:54,234
9230269592945,6014,635,420,282,2103,2023-01-14 17:39:26,330
9230243910318,4838,843,338,300,485,2024-03-04 05:26:58,534
9230610000463,4545,488,387,175,2373,2024-01-13 08:17:43,639
9230963789911,2333,747,228,96,2140,2024-01-27 06:58:23,638
9230547718818,2541,972,267,106,2286,2024-06-17 20:50:54,245
9230210475028,5276,669,430,238,1301,2024-07-26 14:58:20,64
9230386899259,1885,487,111,84,2219,2023-08-09 07:24:50,744
9230292005339,8514,122,345,269,2282,2023-04-18 13:06:40,802
9230899644989,2192,674,448,31,2904,2024-09-18 02:15:32,880
9230316119294,2485,455,197,169,453,2023-09-16 01:57:09,131
9230460406713,5647,820,160,132,1763,2023-01-01 13:44:02,526
9230292005339,3402,227,115,253,752,2024-03-30 00:54:56,805
9230578964248,3981,219,343,288,2135,2023-05-07 17:14:14,165
9230845739714,4195,504,296,129,2196,2024-07-12 00:36:51,803
9230655468230,2494,807,86,232,2918,2024-02-20 19:22:15,949
9230135736693,2095,731,234,43,2128,2023-11-16 20:08:26,765
9230680847512,7627,310,412,177,2443,2023-04-19 03:25:38,828
9230680847512,8719,622,275,168,2290,2024-12-10 10:07:45,910
9230762083350,954,373,442,118,1871,2023-12-18 02:41:11,745
9230203803040,669,851,202,163,1741,2024-01-31 05:07:25,860
9230323323380,1237,359,467,124,850,2024-08-30 09:03:44,671
9230829631581,3929,393,246,112,1216,2024-10-10 23:51:06,567
9230927917724,8946,657,360,232,2993,2023-06-29 14:26:58,165
9230764380110,3341,525,167,207,2922,2024-05-18 18:16:40,838
9230677426741,4200,847,496,193,2346,2024-12-08 13:45:39,428
9230858271073,5352,162,203,148,715,2023-04-23 12:56:56,566
9230781941999,2064,682,271,81,438,2024-12-05 03:47:05,273
9230707021158,5979,753,315,194,1966,2023-03-28 09:29:55,534
9230862699321,3255,815,116,212,2733,2023-10-11 21:03:18,213
9230874225782,1230,520,450,209,2721,2024-02-14 02:40:02,859
9230620961607,1882,991,213,178,762,2023-08-31 20:09:07,655
9230644375655,7082,116,69,143,1880,2024-07-06 12:34:47,514
9230286659796,3164,423,160,37,1676,2024-08-18 23:11:49,63
9230996629579,2433,670,165,277,210,2023-01-29 12:59:25,78
9230681362355,8064,766,278,297,393,2023-02-05 18:29:06,71
9230277713469,4447,201,308,102,2347,2024-04-16 01:40:11,458
9230525329325,7307,391,362,121,2994,2023-06-23 10:15:26,279
9230756956744,3640,149,312,116,2021,2023-03-09 10:58:03,329
9230491725711,6484,280,145,78,2153,2024-10-23 09:28:50,270
9230878531833,6832,426,242,70,462,2023-11-03 10:06:54,366
9230484748077,5402,679,73,172,2448,2024-09-15 06:55:20,928
9230549696488,2357,544,466,157,2461,2024-12-03 19:36:22,81
9230718459155,4412,433,139,208,2624,2023-09-18 05:19:04,966
9230553677954,7194,900,71,282,2127,2023-02-11 01:49:33,439
9230839531825,9320,496,231,290,2032,2023-02-06 16:24:53,911
9230359400406,1301,627,115,95,2460,2024-09-08 00:17:49,165
9230526661255,6807,521,304,278,2713,2023-11-28 02:54:13,955
9230135697838,7796,402,442,50,875,2024-03-27 22:51:12,231
9230660795550,2841,274,155,37,981,2024-07-16 11:27:59,394
9230569464483,8880,383,423,68,1576,2023-02-12 23:02:15,477
9230270654265,7161,850,124,104,1922,2023-05-18 00:35:59,737
9230894993614,3811,856,342,110,1158,2023-06-26 02:50:21,768
9230174392318,8605,482,243,282,1235,2024-03-16 17:51:39,97
9230917703637,5415,356,493,236,1348,2023-02-14 01:01:08,914
9230590622845,717,456,375,138,1237,2024-07-09 17:27:57,351
9230513601178,6848,140,149,194,468,2024-05-28 02:57:46,226
9230417657556,8362,269,151,23,2517,2024-10-13 19:23:46,895
9230377119445,3316,342,147,130,517,2023-05-22 05:07:20,974
9230628658338,8530,398,188,51,1298,2023-12-02 12:38:58,719
9230260106137,8268,961,52,291,1580,2024-05-05 03:00:44,788
9230659891639,1808,765,413,45,1012,2024-02-21 10:51:11,570
9230952507106,6157,721,271,194,2284,2024-04-12 02:06:39,357
9230745590992,705,368,179,80,2989,2023-11-22 08:45:19,565
9230277713469,5745,318,51,61,1079,2024-04-14 22:57:37,390
9230542774756,4647,118,396,79,947,2023-08-22 18:36:31,422
9230715340104,6560,920,220,31,1014,2023-08-29 15:18:12,215
9230823544998,3913,762,126,269,2937,2024-07-16 03:25:23,713
9230252568240,4032,116,226,97,640,2024-02-16 11:11:22,587
9230377740182,8547,486,408,97,1216,2024-10-26 10:27:01,505
9230323952441,1768,912,364,270,2955,2023-04-05 08:42:05,802
9230344399416,1398,205,463,294,1243,2023-11-12 05:22:57,299
9230429988720,1789,780,405,281,2216,2023-06-09 12:26:08,709
9230460235560,8430,557,358,279,2091,2023-09-23 09:51:47,85
9230770746433,7172,360,490,130,870,2024-05-22 10:28:37,904
9230478323663,7350,436,53,199,2190,2023-01-02 13:54:18,354
9230539361665,8866,549,299,238,1008,2023-03-25 22:48:19,329
9230498727181,8867,832,469,64,912,2023-08-18 20:53:12,799
9230620961607,4591,722,406,173,293,2024-03-20 21:58:12,83
9230843939004,8150,884,79,26,1525,2024-04-12 00:32:29,559
9230951173620,4253,225,376,161,2249,2024-07-02 02:24:25,380
9230988629670,7906,555,215,154,2768,2023-02-07 12:54:24,113
9230525329325,3801,851,277,25,1252,2024-07-12 03:41:29,919
9230838747192,5279,169,176,140,1499,2023-04-08 01:51:24,982
9230966239325,3621,423,499,206,1685,2024-02-24 21:58:28,496
9230239925602,1351,347,471,218,1729,2024-02-25 10:50:21,119
