Amount Charged,Resources Consumed,Datetime Charged,MSISDN
19,45 MB data,2024-10-07 12:41:47,9230401971867
5,36 seconds voice call,2023-06-08 06:42:53,9230836421597
18,29 SMS,2023-03-08 07:02:35,9230131213667
0,88 MB data,2023-08-27 23:50:48,9230757247005
11,124 seconds voice call,2023-11-09 11:22:46,9230629451290
0,41 SMS,2023-09-05 01:12:39,9230690127388
4,41 MB data,2024-03-20 09:57:34,9230759296495
0,14 MB data,2023-07-24 12:11:31,9230195976999
17,8 MB data,2024-10-09 17:04:55,9230199794288
0,37 SMS,2023-02-12 20:13:32,9230279476066
6,11 SMS,2024-11-02 19:44:24,9230300480073
6,51 MB data,2023-07-10 23:08:15,9230865836147
16,132 seconds voice call,2024-04-01 06:55:24,9230521850876
0,40 SMS,2023-02-08 15:56:30,9230371331909
0,76 MB data,2024-11-02 08:40:28,9230320913591
16,87 MB data,2024-06-17 11:05:21,9230376679320
0,23 SMS,2024-04-20 22:01:55,9230181101498
9,3 MB data,2023-09-02 20:07:38,9230116725380
0,34 SMS,2024-08-07 12:50:40,9230453084420
2,256 seconds voice call,2023-02-16 19:30:54,9230756956744
0,9 SMS,2023-09-09 23:41:09,9230320913591
0,18 SMS,2024-07-30 16:17:03,9230338505901
20,28 MB data,2023-07-23 18:42:12,9230659891639
10,2 SMS,2024-08-16 04:20:59,9230461913145
18,161 seconds voice call,2024-05-06 01:46:05,9230590622845
0,53 MB data,2023-11-22 00:07:44,9230719228714
12,97 MB data,2023-08-28 16:51:48,9230284966704
17,5 MB data,2023-07-08 03:50:20,9230758196297
5,225 seconds voice call,2023-04-17 11:42:51,9230804972100
18,10 MB data,2024-04-30 07:22:08,9230338854256
0,132 seconds voice call,2024-04-03 02:27:11,9230879503904
19,6 SMS,2024-07-13 13:05:19,9230380831002
0,79 seconds voice call,2024-08-31 09:44:29,9230297855405
0,8 MB data,2024-03-21 19:38:31,9230913067921
19,10 MB data,2024-01-29 10:59:17,9230877452953
9,3 SMS,2023-10-16 09:32:39,9230181232816
0,263 seconds voice call,2023-12-11 03:03:38,9230110752086
0,9 seconds voice call,2023-12-29 16:23:01,9230993414106
0,48 SMS,2023-02-26 02:06:16,9230613161747
3,22 SMS,2023-06-04 07:43:17,9230221414651
10,27 seconds voice call,2024-09-18 02:37:51,9230220901940
18,42 MB data,2024-02-23 04:54:46,9230509493265
0,32 SMS,2024-07-28 11:17:44,9230130432269
0,9 SMS,2023-12-25 07:40:14,9230320913591
3,18 MB data,2024-09-22 04:05:33,9230445974479
2,43 SMS,2024-10-14 11:37:54,9230999762562
0,91 seconds voice call,2024-12-10 07:56:41,9230542774756
12,21 MB data,2023-03-13 14:31:00,9230841273951
0,25 MB data,2024-04-06 19:10:46,9230265833817
19,51 MB data,2023-11-26 07:57:43,9230440406252
0,5 seconds voice call,2023-02-24 13:44:36,9230764380110
0,34 SMS,2024-07-02 08:47:47,9230542774756
16,49 seconds voice call,2024-10-29 18:37:26,9230952507106
0,295 seconds voice call,2024-07-01 13:19:29,9230347659110
0,10 seconds voice call,2023-07-24 05:51:27,9230929167854
5,25 SMS,2023-08-29 02:28:23,9230734119779
19,10 seconds voice call,2024-04-25 07:43:35,9230531073886
6,50 SMS,2024-07-05 09:23:05,9230884555194
6,3 seconds voice call,2023-12-25 20:47:52,9230951046596
0,42 MB data,2024-02-06 16:07:21,9230231393360
0,78 seconds voice call,2024-11-07 18:26:05,9230428352927
1,6 MB data,2024-05-05 02:12:14,9230483525064
0,214 seconds voice call,2023-01-08 17:28:06,9230590622845
15,18 SMS,2023-01-24 08:22:23,9230671758459
0,10 SMS,2023-12-29 01:10:35,9230239925602
5,215 seconds voice call,2024-12-28 10:15:47,9230759262037
0,169 seconds voice call,2023-10-05 15:18:59,9230469090751
18,14 SMS,2024-03-13 10:56:22,9230276004324
0,1 MB data,2023-12-19 07:39:33,9230544164977
10,211 seconds voice call,2024-10-26 22:44:08,9230610000463
5,1 SMS,2023-05-12 08:58:24,9230501743542
17,4 SMS,2024-04-29 03:50:14,9230150956349
0,50 SMS,2024-02-16 14:39:50,9230965222030
6,276 seconds voice call,2024-06-23 13:41:21,9230328855785
12,98 MB data,2023-10-20 08:00:34,9230469090751
16,74 MB data,2024-04-10 11:17:06,9230340148689
5,21 SMS,2024-01-01 12:21:27,9230156332171
0,14 SMS,2023-08-23 00:07:09,9230691534638
4,244 seconds voice call,2023-12-08 09:44:35,9230347659110
0,88 MB data,2023-01-22 08:58:39,9230460235560
0,45 MB data,2023-11-13 01:09:15,9230644375655
0,108 seconds voice call,2024-05-29 06:48:48,9230279476066
0,60 seconds voice call,2024-04-01 01:44:35,9230533971297
15,28 SMS,2024-05-28 07:12:08,9230595811548
0,88 seconds voice call,2024-10-08 19:10:06,9230135736693
18,7 MB data,2024-04-02 22:01:54,9230942028822
4,24 SMS,2023-12-01 14:23:37,9230951173620
3,10 MB data,2023-09-26 02:55:50,9230128026064
0,32 SMS,2024-08-17 18:48:39,9230732582752
0,31 MB data,2024-01-08 21:05:24,9230541679053
20,227 seconds voice call,2024-09-27 14:19:56,9230710465361
0,20 seconds voice call,2023-08-15 14:45:00,9230461913145
2,229 seconds voice call,2024-09-05 12:07:37,9230762083350
0,73 seconds voice call,2024-03-30 22:36:19,9230364676464
0,141 seconds voice call,2024-07-07 06:05:13,9230458233434
15,36 SMS,2024-06-26 18:23:29,9230859659207
3,32 SMS,2023-04-04 05:12:51,9230538552061
0,195 seconds voice call,2023-10-26 16:35:21,9230368714655
10,92 seconds voice call,2024-02-24 06:25:13,9230758196297
15,9 SMS,2023-02-18 06:46:24,9230284966704
0,89 seconds voice call,2023-12-21 10:23:46,9230483525064
0,166 seconds voice call,2024-07-12 18:45:29,9230877924960
3,129 seconds voice call,2023-04-23 18:31:35,9230172475544
0,188 seconds voice call,2023-11-18 00:05:06,9230913469186
0,31 seconds voice call,2023-10-20 03:18:11,9230135736693
0,92 MB data,2023-01-19 19:29:13,9230869170025
0,73 seconds voice call,2024-12-22 00:03:28,9230383558530
0,147 seconds voice call,2023-05-08 12:31:47,9230865836147
20,90 MB data,2024-02-29 09:41:48,9230843939004
18,131 seconds voice call,2024-05-30 05:38:34,9230999762562
8,154 seconds voice call,2023-10-30 03:44:35,9230267833934
19,3 MB data,2023-01-09 08:07:41,9230693732136
0,140 seconds voice call,2024-11-12 02:48:58,9230701523260
0,88 MB data,2023-08-01 01:52:34,9230750008450
10,41 SMS,2023-04-07 10:20:15,9230980574168
0,20 SMS,2023-11-30 05:13:07,9230626020914
8,25 MB data,2023-12-16 01:08:48,9230784359368
12,82 MB data,2023-07-20 11:52:07,9230292005339
0,149 seconds voice call,2024-12-10 20:11:22,9230940913341
4,69 seconds voice call,2024-11-30 22:19:05,9230483063262
0,4 SMS,2024-04-30 03:15:57,9230538552061
0,3 SMS,2024-11-12 10:13:52,9230161844343
0,25 SMS,2024-11-16 07:47:54,9230848893085
0,31 SMS,2024-03-21 03:28:07,9230993322733
4,84 MB data,2023-04-28 12:50:31,9230185115570
3,46 SMS,2023-05-25 03:51:06,9230633703313
0,16 MB data,2023-07-27 09:28:40,9230108807547
13,202 seconds voice call,2023-12-17 20:20:41,9230545817301
7,20 SMS,2023-06-16 23:58:20,9230328855785
8,26 MB data,2023-03-12 16:17:45,9230259441946
19,1 MB data,2024-02-21 16:53:57,9230644375655
5,10 SMS,2024-12-03 05:40:32,9230504769021
18,9 MB data,2024-10-12 20:43:29,9230870299395
15,79 MB data,2023-11-05 06:26:32,9230262593890
0,11 SMS,2023-10-18 07:37:17,9230913469186
0,15 SMS,2023-07-18 09:22:19,9230428352927
0,29 SMS,2024-05-26 07:56:31,9230838747192
0,6 SMS,2024-02-27 07:39:18,9230843939004
17,27 MB data,2024-09-09 00:55:56,9230838747192
5,36 MB data,2023-07-29 08:12:07,9230830363551
4,176 seconds voice call,2024-06-03 21:46:26,9230621495764
9,81 seconds voice call,2023-05-13 19:31:01,9230401465493
0,27 SMS,2024-06-28 08:01:55,9230279476066
0,37 SMS,2023-07-14 21:15:25,9230823544998
0,19 SMS,2024-04-13 23:36:32,9230156332171
4,9 SMS,2024-11-01 23:19:22,9230539361665
3,23 MB data,2024-09-06 05:47:33,9230615495383
18,43 SMS,2024-04-16 11:32:28,9230336452998
5,22 SMS,2024-07-16 14:22:14,9230218302795
17,9 MB data,2023-11-17 18:07:11,9230801432971
0,33 MB data,2024-09-23 23:29:10,9230325454471
0,25 MB data,2024-10-01 04:06:27,9230533562002
20,12 SMS,2024-12-29 10:43:24,9230901697602
18,65 seconds voice call,2023-09-11 03:43:43,9230993322733
16,36 SMS,2024-11-19 21:22:15,9230375319344
0,17 seconds voice call,2023-07-01 03:26:57,9230372079637
0,172 seconds voice call,2024-02-14 13:46:01,9230798629373
0,50 MB data,2023-11-10 22:54:47,9230695127231
0,44 MB data,2023-07-07 16:18:20,9230302161434
11,48 MB data,2023-11-29 15:05:47,9230951173620
18,10 SMS,2023-09-09 12:02:44,9230320913591
15,38 MB data,2023-06-27 20:09:39,9230189367566
0,37 SMS,2024-02-21 02:02:33,9230740178078
10,10 SMS,2024-03-21 10:12:25,9230218302795
15,70 MB data,2024-11-14 13:48:20,9230663695123
0,98 MB data,2024-02-22 16:09:21,9230184750806
18,37 SMS,2023-09-02 03:13:16,9230108807547
0,274 seconds voice call,2023-02-22 22:06:08,9230996629579
3,116 seconds voice call,2024-05-26 10:24:53,9230504769021
0,109 seconds voice call,2023-11-14 17:52:30,9230407100763
0,53 MB data,2024-07-09 12:42:51,9230555117124
13,53 MB data,2023-06-16 09:29:19,9230934702779
2,3 SMS,2024-07-23 09:39:40,9230663695123
0,30 SMS,2023-10-10 20:24:03,9230816548778
7,64 seconds voice call,2023-10-26 03:27:51,9230838747192
0,228 seconds voice call,2024-08-03 16:20:27,9230942028822
4,56 MB data,2023-10-21 12:44:28,9230483525064
17,40 SMS,2023-05-17 22:56:13,9230210475028
0,38 SMS,2023-12-02 07:49:46,9230894240000
19,216 seconds voice call,2023-06-27 08:50:28,9230161844343
0,50 SMS,2024-02-10 22:33:33,9230750008450
0,92 MB data,2023-01-24 23:53:57,9230975398588
16,29 SMS,2023-11-22 01:38:35,9230108807547
13,279 seconds voice call,2024-09-01 18:30:15,9230927069977
1,55 MB data,2024-07-25 19:21:48,9230838747192
0,20 SMS,2023-07-02 08:57:48,9230535496574
4,45 SMS,2023-09-26 05:45:17,9230678073159
0,180 seconds voice call,2023-12-22 04:16:50,9230140927318
15,50 MB data,2023-11-05 10:51:58,9230783931863
0,71 MB data,2023-01-13 23:49:06,9230407015189
0,39 MB data,2024-04-12 14:20:33,9230291832784
7,36 MB data,2023-05-08 04:30:34,9230182771385
10,34 MB data,2024-09-09 09:04:21,9230265833817
17,24 SMS,2023-02-19 12:56:15,9230747965604
10,85 MB data,2024-04-15 07:36:52,9230901697602
17,148 seconds voice call,2024-01-07 07:25:36,9230639362130
0,26 SMS,2024-11-25 03:01:16,9230407015189
1,20 MB data,2024-04-20 19:57:35,9230989253929
11,6 SMS,2023-05-13 22:10:33,9230265833817
0,53 seconds voice call,2023-10-27 23:06:06,9230108284824
0,16 SMS,2023-09-27 17:23:24,9230865562600
18,46 SMS,2024-04-05 19:00:41,9230696877696
2,88 MB data,2023-09-07 20:17:18,9230999762562
0,141 seconds voice call,2024-06-02 03:01:36,9230199794288
14,97 MB data,2024-02-13 07:55:03,9230545817301
19,53 MB data,2024-11-26 00:36:21,9230530607842
0,261 seconds voice call,2024-12-27 05:10:14,9230613161747
0,19 SMS,2023-10-08 09:15:33,9230289915767
14,12 SMS,2023-06-04 22:45:24,9230707794631
3,82 MB data,2024-11-11 22:56:13,9230965222030
0,23 MB data,2024-03-26 10:12:59,9230533971297
16,96 MB data,2024-07-17 10:48:39,9230347659110
0,69 MB data,2024-02-12 20:54:07,9230681869488
0,94 MB data,2024-06-16 02:51:41,9230136370951
0,22 seconds voice call,2023-10-18 21:25:32,9230671758459
20,23 SMS,2023-04-30 08:48:35,9230898156533
0,163 seconds voice call,2024-04-18 11:06:37,9230877653565
0,26 SMS,2024-01-01 19:13:39,9230857792434
11,37 SMS,2024-03-07 11:12:00,9230917703637
0,93 seconds voice call,2023-09-30 16:57:48,9230878531833
10,32 seconds voice call,2024-12-18 20:09:28,9230677273280
0,35 MB data,2023-04-23 05:41:07,9230372387956
9,17 MB data,2023-04-16 21:14:46,9230531683554
0,120 seconds voice call,2024-06-26 22:01:50,9230542774756
0,18 SMS,2023-05-10 17:18:04,9230844863890
19,100 MB data,2024-02-05 14:58:52,9230693732136
0,26 SMS,2024-04-16 08:29:07,9230243910318
7,16 MB data,2024-08-20 17:28:41,9230938865042
0,104 seconds voice call,2024-06-09 23:29:46,9230208786773
10,1 SMS,2023-02-24 08:04:14,9230996583212
7,133 seconds voice call,2023-12-27 11:38:04,9230322336485
18,42 seconds voice call,2023-08-19 08:22:45,9230203803040
19,81 seconds voice call,2023-08-13 01:25:25,9230759262037
12,7 SMS,2023-02-17 13:06:41,9230751286997
0,27 SMS,2023-11-04 13:46:18,9230213698765
18,45 seconds voice call,2023-08-09 11:42:25,9230141002657
0,32 SMS,2024-02-28 08:23:59,9230691534638
0,31 seconds voice call,2024-07-09 09:45:48,9230308743962
4,2 SMS,2024-02-07 13:36:21,9230284527343
7,11 MB data,2023-11-04 08:10:08,9230169412325
15,167 seconds voice call,2024-01-16 10:02:54,9230307828705
0,36 SMS,2023-08-09 04:19:48,9230191688658
0,27 MB data,2024-11-25 13:30:41,9230701523260
0,91 MB data,2024-09-15 02:31:21,9230252568240
5,30 SMS,2024-10-15 05:34:00,9230515578106
9,73 MB data,2024-05-27 04:57:37,9230701523260
15,93 MB data,2024-04-03 16:53:42,9230231393360
17,33 SMS,2023-06-02 17:52:41,9230300480073
0,72 MB data,2023-10-26 17:30:01,9230584816103
0,7 MB data,2023-11-09 04:38:59,9230131679184
0,6 SMS,2024-03-19 11:46:21,9230463124616
1,7 SMS,2024-08-01 17:50:18,9230532570407
11,3 SMS,2023-01-24 07:25:22,9230135736693
16,193 seconds voice call,2024-04-25 09:49:47,9230323323380
0,26 MB data,2023-01-10 06:52:22,9230522252850
0,38 SMS,2024-07-28 13:51:40,9230717631811
13,12 SMS,2023-07-25 02:57:23,9230128026064
0,93 seconds voice call,2023-11-22 17:31:02,9230213698765
0,21 MB data,2024-01-25 15:06:14,9230502363761
0,23 SMS,2024-04-03 05:58:40,9230131213667
0,37 MB data,2023-12-25 08:43:38,9230166511912
0,113 seconds voice call,2023-09-03 12:00:34,9230172475544
2,47 seconds voice call,2024-09-29 08:36:16,9230116725380
0,45 MB data,2023-07-04 10:55:43,9230237322715
8,182 seconds voice call,2024-09-29 03:22:59,9230110752086
0,79 seconds voice call,2023-03-30 02:26:49,9230482635548
14,10 MB data,2023-07-04 01:01:31,9230608797513
3,27 SMS,2024-11-24 05:56:20,9230949423190
20,28 SMS,2024-11-10 04:51:56,9230243910318
0,17 MB data,2023-08-29 03:05:10,9230845739714
0,52 MB data,2023-05-05 03:32:58,9230401971867
17,15 SMS,2023-01-24 23:40:46,9230349006281
0,19 seconds voice call,2023-11-14 07:00:24,9230582875040
0,3 MB data,2024-05-13 10:50:59,9230424681184
20,53 MB data,2024-09-04 01:18:16,9230140927318
0,11 SMS,2023-12-08 23:38:05,9230996629579
5,49 SMS,2023-12-17 15:22:22,9230859659207
0,26 SMS,2024-02-17 19:14:52,9230380721970
17,283 seconds voice call,2024-06-15 23:29:39,9230854996962
18,66 MB data,2024-05-28 09:34:55,9230899644989
17,95 MB data,2023-05-27 08:58:40,9230429988720
0,18 SMS,2023-03-28 17:56:34,9230423959650
0,125 seconds voice call,2024-03-09 17:13:48,9230797852798
3,22 SMS,2023-02-24 23:54:16,9230782878829
8,9 SMS,2024-11-03 11:03:11,9230397501087
1,47 MB data,2023-12-25 02:48:47,9230839186102
0,25 seconds voice call,2023-05-07 21:16:31,9230336452998
15,122 seconds voice call,2023-12-13 08:34:06,9230553625236
17,256 seconds voice call,2023-04-21 04:52:28,9230453084420
0,178 seconds voice call,2023-12-16 13:36:19,9230270449680
5,64 MB data,2023-05-08 00:29:44,9230224556190
6,77 MB data,2024-04-17 15:05:43,9230532570407
4,35 MB data,2024-08-22 23:03:32,9230101039883
17,39 SMS,2023-01-11 23:23:47,9230390393385
0,92 MB data,2024-11-10 15:21:16,9230693732136
0,271 seconds voice call,2024-02-25 17:14:20,9230879557130
0,43 MB data,2023-05-05 07:02:11,9230829631581
12,39 SMS,2023-03-22 08:36:30,9230164904391
0,23 SMS,2024-07-29 18:28:05,9230701523260
0,86 seconds voice call,2024-04-26 01:18:38,9230681869488
6,76 MB data,2023-10-22 06:48:44,9230544164977
0,12 SMS,2023-01-02 10:54:58,9230584157454
0,114 seconds voice call,2024-11-09 10:54:30,9230904602671
0,64 MB data,2024-03-23 10:44:07,9230265833817
8,15 MB data,2023-02-21 12:20:43,9230210475028
0,35 MB data,2023-10-27 10:04:08,9230676813795
0,2 MB data,2023-08-15 21:04:13,9230430137914
0,49 MB data,2024-02-16 19:33:13,9230757247005
0,23 MB data,2023-12-16 23:30:54,9230218302795
0,95 MB data,2024-12-21 05:30:40,9230587001801
0,5 SMS,2023-01-08 06:18:02,9230492437848
0,22 SMS,2024-01-02 13:01:58,9230223870632
0,143 seconds voice call,2024-01-30 07:41:54,9230135697838
3,6 SMS,2024-11-09 07:16:24,9230858271073
0,44 SMS,2024-03-12 05:00:47,9230130432269
10,31 SMS,2024-12-31 12:59:34,9230949423190
15,26 SMS,2024-10-18 08:37:40,9230368714655
0,100 MB data,2023-11-21 23:42:56,9230104488435
9,96 seconds voice call,2023-02-20 06:16:53,9230715340104
0,160 seconds voice call,2024-12-16 13:36:25,9230671681911
6,36 SMS,2024-11-01 20:35:17,9230991595287
16,58 MB data,2024-07-08 11:01:33,9230277713469
10,31 MB data,2023-03-21 06:54:46,9230648571772
11,77 MB data,2023-07-17 07:45:03,9230172475544
7,210 seconds voice call,2024-12-30 15:45:43,9230364676464
0,34 SMS,2023-01-02 07:21:11,9230816548778
0,80 MB data,2024-06-07 22:14:08,9230859659207
10,11 MB data,2023-06-09 16:20:22,9230277017963
0,140 seconds voice call,2023-11-22 06:28:45,9230798629373
17,23 MB data,2023-05-15 00:45:03,9230639362130
0,236 seconds voice call,2023-03-03 01:50:22,9230531073886
0,41 SMS,2023-05-27 05:53:19,9230782878829
0,10 MB data,2024-05-14 12:26:16,9230621495764
0,3 MB data,2023-11-30 09:25:07,9230177089747
7,224 seconds voice call,2023-09-02 02:20:46,9230750008450
0,96 MB data,2024-03-16 08:40:12,9230882185417
0,21 SMS,2024-09-06 18:17:31,9230784359368
9,33 SMS,2024-06-08 03:12:00,9230877924960
8,265 seconds voice call,2023-02-06 05:10:30,9230386899259
6,3 MB data,2024-08-05 09:41:23,9230676813795
0,38 SMS,2023-12-21 09:10:23,9230958106815
0,29 SMS,2023-07-05 06:52:13,9230801432971
8,59 MB data,2023-08-05 11:57:44,9230460235560
0,32 SMS,2023-06-15 18:36:27,9230784359368
0,96 MB data,2024-04-14 07:39:43,9230457133173
0,150 seconds voice call,2024-07-30 06:28:59,9230531073886
16,212 seconds voice call,2023-01-09 15:51:08,9230347659110
0,111 seconds voice call,2024-10-17 20:20:48,9230525329325
0,126 seconds voice call,2023-04-24 06:16:08,9230759262037
3,18 MB data,2023-11-11 17:26:11,9230728340344
0,26 MB data,2023-01-20 11:58:23,9230879503904
0,230 seconds voice call,2024-12-21 14:49:27,9230676813795
2,1 SMS,2024-06-21 10:35:15,9230397501087
0,184 seconds voice call,2023-05-27 13:57:27,9230974624965
0,38 SMS,2024-09-14 21:12:14,9230369808467
5,8 SMS,2023-10-18 01:29:46,9230237841298
19,1 MB data,2023-04-04 18:59:53,9230609873958
5,15 MB data,2023-12-06 17:46:50,9230408988930
3,84 MB data,2024-11-24 09:36:31,9230747965604
0,98 MB data,2024-10-21 20:16:56,9230491718472
9,1 SMS,2023-01-20 20:13:58,9230383558530
0,3 seconds voice call,2023-03-20 05:01:04,9230364676464
11,35 MB data,2023-04-15 14:07:03,9230237841298
0,34 SMS,2023-02-01 05:37:48,9230744398113
5,247 seconds voice call,2024-11-28 02:20:34,9230924151654
14,41 MB data,2024-04-05 06:30:05,9230829631581
16,55 MB data,2023-01-09 03:30:06,9230490717091
18,267 seconds voice call,2023-08-31 21:35:46,9230161844343
9,47 SMS,2024-06-18 02:05:03,9230731598505
0,29 SMS,2023-11-15 15:40:43,9230463124616
17,75 MB data,2024-03-28 03:26:40,9230877653565
9,14 SMS,2024-08-31 19:31:19,9230545817301
0,66 seconds voice call,2023-08-01 03:05:05,9230296988060
0,21 SMS,2023-11-07 06:58:13,9230289915767
0,169 seconds voice call,2023-11-27 10:44:31,9230882185417
5,7 SMS,2023-12-08 08:42:25,9230453084420
9,73 MB data,2023-12-30 00:06:40,9230135697838
0,22 MB data,2024-06-15 04:31:11,9230380831002
0,50 MB data,2023-12-29 16:30:00,9230206172868
20,30 SMS,2024-07-22 09:04:25,9230214230900
11,11 SMS,2024-04-08 06:59:11,9230734119779
14,14 SMS,2024-12-12 07:03:33,9230277146142
0,47 MB data,2023-07-10 10:13:46,9230538379054
8,6 MB data,2024-06-08 18:11:34,9230490717091
19,23 SMS,2023-03-30 10:43:07,9230132527460
0,30 seconds voice call,2024-02-21 08:40:35,9230498727181
7,15 MB data,2023-02-08 12:59:11,9230701523260
0,40 MB data,2023-05-17 12:20:50,9230734328465
0,37 SMS,2023-07-22 05:51:15,9230582875040
0,20 SMS,2024-07-26 07:54:22,9230284966704
0,87 MB data,2024-05-31 03:34:05,9230181232816
0,49 SMS,2023-10-13 06:42:36,9230912538628
13,31 MB data,2024-12-29 10:10:47,9230150956349
0,94 MB data,2023-04-22 13:55:24,9230655468230
7,25 MB data,2024-12-11 01:56:00,9230369808467
0,160 seconds voice call,2024-11-01 22:17:46,9230799348185
0,10 SMS,2023-02-10 19:29:06,9230377808000
0,1 SMS,2024-11-29 16:49:17,9230538379054
7,58 seconds voice call,2024-01-02 12:14:21,9230347659110
8,75 MB data,2023-06-08 16:24:06,9230270449680
17,95 MB data,2023-05-11 15:40:02,9230533971297
0,67 seconds voice call,2023-03-04 11:07:04,9230998618451
2,7 SMS,2023-12-03 06:19:52,9230102123429
10,84 seconds voice call,2023-06-24 08:13:06,9230277017963
16,84 seconds voice call,2023-04-28 13:40:47,9230829631581
0,74 MB data,2024-12-10 14:01:36,9230966239325
15,167 seconds voice call,2024-11-21 04:35:42,9230277146142
15,47 SMS,2023-11-18 04:13:03,9230175549082
8,235 seconds voice call,2024-12-01 04:05:49,9230291832784
17,77 seconds voice call,2023-02-07 06:47:06,9230991595287
0,231 seconds voice call,2024-03-19 12:31:23,9230710465361
0,7 MB data,2023-03-07 06:39:21,9230927069977
10,81 MB data,2023-03-31 23:04:12,9230728340344
