Ticket ID,Log Time,Resolution Time,Category,Description,Resolutions,MSISDN
T55173,2024-04-19 20:02:16,2024-04-20 22:02:16,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230503425792
T44195,2024-08-23 13:29:55,2024-08-26 03:29:55,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230843939004
T83774,2023-05-07 23:18:40,2023-05-10 00:18:40,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230200289727
T92864,2023-04-29 19:59:25,2023-05-01 03:59:25,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230237322715
T51735,2023-04-23 23:01:19,2023-04-24 15:01:19,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230279476066
T97216,2024-12-24 16:01:43,2024-12-25 01:01:43,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230544164977
T62088,2023-08-23 12:16:46,2023-08-25 15:16:46,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230371331909
T25381,2023-04-19 01:22:10,2023-04-19 11:22:10,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230206172868
T17176,2024-03-19 03:35:57,2024-03-20 04:35:57,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230310826483
T29923,2023-02-02 14:05:02,2023-02-04 13:05:02,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230519509585
T95183,2024-01-28 02:18:15,2024-01-30 18:18:15,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230222425251
T62954,2024-09-16 10:39:47,2024-09-17 03:39:47,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230102123429
T75123,2024-11-13 08:57:22,2024-11-15 05:57:22,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230590622845
T53033,2024-09-26 14:04:29,2024-09-28 15:04:29,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230361899280
T63901,2024-10-14 11:26:14,2024-10-15 10:26:14,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230663695123
T41894,2024-12-14 00:23:54,2024-12-15 14:23:54,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230525329325
T76631,2023-01-30 04:53:48,2023-02-01 11:53:48,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230659891639
T35842,2024-10-22 06:29:27,2024-10-24 12:29:27,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230104488435
T69285,2023-12-05 23:05:23,2023-12-08 19:05:23,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230320913591
T73711,2024-07-20 08:46:26,2024-07-22 22:46:26,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230951046596
T61753,2024-09-21 22:39:31,2024-09-24 00:39:31,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230859259858
T91446,2024-12-19 19:42:15,2024-12-21 04:42:15,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230689135277
T72990,2023-09-29 06:18:23,2023-09-29 13:18:23,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230878479840
T90600,2023-09-27 16:20:06,2023-09-27 19:20:06,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230377208567
T55063,2023-08-19 10:42:35,2023-08-20 03:42:35,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230934867447
T81296,2023-09-08 23:12:03,2023-09-09 21:12:03,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230691534638
T52958,2023-12-29 12:33:52,2023-12-29 20:33:52,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230868543023
T16760,2023-08-30 19:36:11,2023-09-01 06:36:11,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230323952441
T30586,2024-05-24 12:12:13,2024-05-27 12:12:13,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230461913145
T44255,2024-08-31 05:46:05,2024-09-02 20:46:05,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230280094327
T40597,2023-09-14 19:56:01,2023-09-17 10:56:01,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230515578106
T33226,2023-05-18 11:50:14,2023-05-19 10:50:14,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230737100009
T62628,2023-08-25 04:15:53,2023-08-26 20:15:53,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230243179920
T82106,2023-01-05 01:47:07,2023-01-07 04:47:07,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230570122595
T13176,2023-11-24 02:49:16,2023-11-25 10:49:16,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230695127231
T77870,2024-01-31 18:44:50,2024-02-02 19:44:50,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230974624965
T38472,2023-12-01 17:21:59,2023-12-02 04:21:59,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230927069977
T11166,2024-12-24 04:01:02,2024-12-24 09:01:02,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230501743542
T34817,2024-10-06 14:28:12,2024-10-08 15:28:12,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230397501087
T77431,2024-03-29 11:35:18,2024-03-31 13:35:18,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230453084420
T75582,2023-09-02 05:20:59,2023-09-03 10:20:59,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230252568240
T24749,2024-08-20 08:21:34,2024-08-20 22:21:34,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230131213667
T84913,2023-08-04 11:51:43,2023-08-05 21:51:43,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230141002657
T12294,2024-01-16 13:37:41,2024-01-18 13:37:41,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230747965604
T95776,2023-07-16 10:46:51,2023-07-18 15:46:51,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230549696488
T25909,2024-01-06 21:16:06,2024-01-08 02:16:06,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230498727181
T25787,2023-07-26 18:51:01,2023-07-28 08:51:01,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230737442961
T45351,2024-04-21 01:10:15,2024-04-23 03:10:15,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230291832784
T71871,2024-06-11 14:33:45,2024-06-13 12:33:45,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230553677954
T75526,2023-08-23 22:55:34,2023-08-26 06:55:34,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230181101498
T33795,2024-03-20 23:02:35,2024-03-23 05:02:35,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230284527343
T59613,2024-01-11 18:49:05,2024-01-14 01:49:05,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230281653523
T79203,2023-02-20 17:08:33,2023-02-23 12:08:33,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230239925602
T15972,2024-06-29 05:25:40,2024-06-29 20:25:40,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230191688658
T13210,2023-04-02 15:30:34,2023-04-02 17:30:34,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230460406713
T57629,2023-05-20 05:55:05,2023-05-21 14:55:05,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230996629579
T82265,2024-06-27 10:16:29,2024-06-27 13:16:29,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230340061181
T91157,2024-08-03 19:59:24,2024-08-06 13:59:24,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230231393360
T54943,2023-04-24 18:26:48,2023-04-27 06:26:48,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230615495383
T45659,2023-08-19 19:16:02,2023-08-22 16:16:02,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230539361665
T74855,2024-12-19 12:53:19,2024-12-20 08:53:19,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230493806941
T15446,2023-04-13 01:48:50,2023-04-15 08:48:50,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230277017963
T49166,2023-08-25 23:10:39,2023-08-27 16:10:39,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230625617252
T24173,2023-02-25 18:08:29,2023-02-27 13:08:29,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230518578339
T52026,2024-09-08 14:52:05,2024-09-09 23:52:05,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230521821189
T66685,2023-12-20 03:52:47,2023-12-20 12:52:47,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230174392318
T45915,2023-03-31 18:59:40,2023-03-31 22:59:40,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230231393360
T50207,2024-11-04 16:35:05,2024-11-06 07:35:05,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230759296495
T43371,2023-10-08 03:21:39,2023-10-09 11:21:39,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230804972100
T65673,2024-06-22 12:32:30,2024-06-23 13:32:30,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230771370719
T33595,2023-11-16 05:42:27,2023-11-16 23:42:27,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230813900597
T31072,2024-09-02 01:26:52,2024-09-02 19:26:52,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230762083350
T53539,2024-12-07 17:48:27,2024-12-09 11:48:27,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230793158951
T36638,2023-03-17 16:12:26,2023-03-20 03:12:26,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230916001896
T20118,2023-07-08 10:53:21,2023-07-09 16:53:21,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230533562002
T68737,2024-02-06 05:10:06,2024-02-07 03:10:06,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230530607842
T95813,2024-10-15 13:31:03,2024-10-17 00:31:03,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230386899259
T16095,2024-03-14 13:26:07,2024-03-16 10:26:07,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230877924960
T55023,2023-05-20 12:05:42,2023-05-21 02:05:42,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230555117124
T85607,2024-04-07 16:17:37,2024-04-10 11:17:37,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230578961856
T33378,2023-05-19 06:09:54,2023-05-21 17:09:54,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230734328465
T92568,2023-09-16 06:07:18,2023-09-18 02:07:18,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230737100009
T69893,2024-05-25 05:28:32,2024-05-25 14:28:32,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230380831002
T97463,2024-05-18 10:34:23,2024-05-18 18:34:23,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230585087525
T99945,2023-01-15 12:05:20,2023-01-15 23:05:20,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230230356648
T72197,2024-09-25 02:28:57,2024-09-27 08:28:57,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230203822216
T43090,2024-04-19 17:38:41,2024-04-21 07:38:41,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230130432269
T70299,2024-08-14 04:49:42,2024-08-16 07:49:42,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230773751253
T58335,2024-07-17 15:01:37,2024-07-20 06:01:37,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230191688658
T45944,2024-07-19 14:23:18,2024-07-22 02:23:18,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230918324323
T48355,2024-01-20 23:36:05,2024-01-21 02:36:05,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230553677954
T66579,2023-11-29 05:47:24,2023-11-29 22:47:24,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230632946288
T12567,2023-09-30 19:50:58,2023-10-03 06:50:58,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230877653565
T93737,2024-07-15 17:31:15,2024-07-18 16:31:15,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230878479840
T33906,2023-11-13 06:56:28,2023-11-13 15:56:28,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230488909528
T22145,2024-04-13 09:57:28,2024-04-15 17:57:28,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230710465361
T84189,2024-01-28 00:55:39,2024-01-29 04:55:39,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230130590594
T31668,2024-05-07 00:44:48,2024-05-08 06:44:48,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230406147934
T85556,2024-03-31 18:00:48,2024-04-03 07:00:48,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230169412325
T97510,2023-07-10 02:55:09,2023-07-12 08:55:09,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230717631811
T56267,2024-04-28 06:26:40,2024-04-28 19:26:40,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230701523260
T47381,2023-03-15 22:34:38,2023-03-18 18:34:38,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230359400406
T32987,2024-12-05 12:47:19,2024-12-07 21:47:19,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230916001896
T25149,2023-07-18 13:18:10,2023-07-21 08:18:10,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230703883514
T24225,2024-05-13 01:46:52,2024-05-13 07:46:52,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230380831002
T89308,2023-11-25 10:03:34,2023-11-25 18:03:34,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230519509585
T11744,2024-08-09 16:57:06,2024-08-10 18:57:06,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230533971297
T67227,2023-05-08 18:40:20,2023-05-11 00:40:20,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230695127231
T17374,2024-12-30 20:50:51,2025-01-01 01:50:51,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230490717091
T92689,2024-01-24 09:29:39,2024-01-25 03:29:39,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230515222731
T25441,2023-02-21 07:06:15,2023-02-23 19:06:15,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230397501087
T49064,2024-02-06 07:29:42,2024-02-09 05:29:42,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230369808467
T26226,2023-04-03 20:46:24,2023-04-04 16:46:24,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230996583212
T59072,2023-01-03 03:13:31,2023-01-03 07:13:31,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230216678436
T98475,2024-04-20 21:24:07,2024-04-21 22:24:07,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230169412325
T43263,2024-03-29 19:24:27,2024-03-30 14:24:27,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230572489793
T46593,2023-10-17 19:23:46,2023-10-19 22:23:46,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230248021475
T41445,2023-09-25 04:25:33,2023-09-27 23:25:33,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230141894241
T35616,2024-12-17 00:03:38,2024-12-18 04:03:38,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230532210174
T28255,2024-08-25 04:00:59,2024-08-27 09:00:59,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230681869488
T75791,2024-06-30 18:16:38,2024-07-02 10:16:38,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230406147934
T36749,2024-07-17 18:53:26,2024-07-18 15:53:26,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230988629670
T46198,2024-02-10 21:45:10,2024-02-13 12:45:10,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230325454471
T95321,2024-05-21 16:17:00,2024-05-24 02:17:00,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230136074684
T23880,2023-10-25 19:02:42,2023-10-26 18:02:42,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230344399416
T77057,2023-01-28 03:56:03,2023-01-29 13:56:03,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230243179920
T61429,2024-02-25 13:04:51,2024-02-25 22:04:51,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230438965158
T84208,2023-03-14 20:00:52,2023-03-17 08:00:52,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230231393360
T71462,2023-09-26 21:13:33,2023-09-28 17:13:33,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230848893085
T27794,2024-12-07 05:28:33,2024-12-08 17:28:33,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230377119445
T72232,2023-06-22 12:46:55,2023-06-22 18:46:55,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230206993428
