Offer Name,Offer ID,Data Browsing Allowance,SMS Allowance,Voice On-Net Allowance,Voice Off-Net Allowance,Data Social Allowance,Datetime,Amount,MSISDN
Offer 37,O034,8255,961,427,104,800,2024-10-01 06:58:57,518,9230731598505
Offer 48,O041,8640,128,389,176,2466,2023-09-07 17:06:29,702,9230732582752
Offer 1,O014,667,691,261,81,452,2024-06-27 02:46:04,374,9230859759249
Offer 33,O043,7578,473,343,184,2612,2024-01-23 07:55:55,715,9230584157454
Offer 18,O047,5154,668,413,199,1421,2023-09-10 10:01:51,767,9230747965604
Offer 23,O005,9829,167,210,35,1054,2023-03-20 14:09:00,293,9230372387956
Offer 40,O008,2815,865,134,288,1466,2023-10-29 09:36:22,256,9230289915767
Offer 17,O016,2833,636,391,289,2100,2024-10-03 04:54:08,496,9230372079637
Offer 34,O020,5108,585,122,210,1647,2024-02-25 03:09:02,826,9230628658338
Offer 7,O039,9706,144,417,231,1315,2023-12-09 20:46:10,232,9230325454471
Offer 19,O044,1426,460,302,214,748,2023-08-06 16:13:14,344,9230951046596
Offer 19,O046,9928,757,318,82,233,2024-12-14 04:01:49,732,9230707021158
Offer 18,O008,8640,824,136,203,1234,2024-11-06 15:10:30,753,9230195976999
Offer 24,O039,9394,138,149,126,1991,2024-08-04 02:41:11,424,9230582461373
Offer 23,O019,2784,739,297,236,2290,2023-02-11 06:43:39,695,9230996123791
Offer 16,O037,8015,518,221,80,752,2023-11-19 13:15:16,261,9230734328465
Offer 33,O048,7008,690,78,107,2515,2024-03-12 01:32:27,579,9230531683554
Offer 49,O007,9681,642,275,177,1516,2024-06-29 19:22:38,458,9230283949996
Offer 9,O007,5943,412,71,251,1208,2023-06-08 15:15:25,117,9230951046596
Offer 2,O035,7586,555,108,266,1831,2023-11-13 05:47:45,278,9230843939004
Offer 32,O012,4595,530,207,104,2682,2024-04-03 22:34:49,848,9230663695123
Offer 35,O029,8619,785,277,50,1905,2024-02-01 20:35:10,974,9230541679053
Offer 11,O024,8988,468,107,214,2542,2023-03-16 04:50:47,479,9230240764422
Offer 15,O020,5728,983,258,57,1276,2024-01-13 13:31:18,411,9230150956349
Offer 2,O039,4247,648,65,87,679,2023-09-07 19:35:54,914,9230509988441
Offer 9,O010,5156,438,151,182,456,2024-01-18 20:56:56,656,9230291832784
Offer 33,O044,4638,885,99,261,1811,2023-09-27 07:05:28,143,9230951173620
Offer 31,O042,2898,997,124,169,2887,2023-09-02 15:29:42,280,9230428352927
Offer 49,O050,7809,235,189,248,1939,2023-03-22 09:33:17,593,9230870299395
Offer 14,O045,8993,655,397,297,2539,2024-03-15 01:44:02,1000,9230532210174
Offer 26,O005,1598,317,84,245,287,2024-11-26 06:23:25,503,9230680847512
Offer 11,O043,8687,899,68,151,2352,2023-10-15 19:44:29,734,9230859259858
Offer 44,O023,1609,981,228,58,2022,2023-09-23 20:23:43,786,9230440406252
Offer 18,O039,3477,557,332,158,1358,2023-01-22 12:00:01,882,9230417634205
Offer 14,O003,7144,384,469,161,1251,2023-08-20 10:32:54,819,9230307828705
Offer 1,O008,3473,328,54,127,1170,2024-10-25 19:14:04,505,9230693732136
Offer 11,O038,4442,568,388,20,1268,2023-08-10 21:01:23,657,9230265833817
Offer 7,O013,3301,231,319,82,590,2023-02-23 06:45:23,910,9230901697602
Offer 15,O025,1246,886,388,157,1721,2024-01-11 06:15:39,722,9230768600866
Offer 27,O016,4386,999,67,89,1593,2023-12-28 13:08:23,941,9230286659796
Offer 9,O022,6731,956,362,69,1094,2024-04-10 03:00:52,406,9230927069977
Offer 20,O013,8860,170,368,139,580,2023-11-10 22:12:31,640,9230865562600
Offer 4,O010,4266,547,218,21,2832,2024-08-12 09:25:12,883,9230734328465
Offer 20,O005,8324,666,300,55,1918,2023-10-12 15:09:39,195,9230532210174
Offer 1,O024,3323,257,53,102,2765,2023-12-22 17:11:51,293,9230401465493
Offer 38,O036,9360,307,311,96,2803,2024-04-25 11:25:36,130,9230845739714
Offer 9,O050,1403,637,396,204,548,2023-03-05 10:09:25,171,9230627366212
Offer 37,O011,680,805,211,270,2217,2023-10-26 01:54:56,214,9230482635548
Offer 37,O043,2499,806,499,153,2465,2023-11-26 16:49:29,447,9230648571772
Offer 5,O036,6821,720,125,169,1822,2023-07-21 09:22:03,524,9230372079637
Offer 5,O033,9192,479,362,40,2611,2024-05-30 10:01:57,828,9230354967134
Offer 13,O033,6221,712,138,131,893,2023-08-17 22:58:21,89,9230113042916
Offer 15,O010,8026,693,182,223,2446,2024-07-24 01:14:35,823,9230649026167
Offer 1,O041,8261,508,436,232,2663,2024-02-07 12:03:43,367,9230649026167
Offer 4,O045,9789,712,108,24,2614,2024-02-17 09:04:35,106,9230736702569
Offer 44,O008,9027,221,481,54,2739,2024-01-10 22:33:46,597,9230492437848
Offer 36,O030,7369,636,126,130,2416,2024-10-24 22:25:10,590,9230518716541
Offer 4,O039,1331,585,195,209,740,2023-10-20 06:52:04,658,9230877924960
Offer 39,O015,4122,375,165,131,2109,2023-05-11 07:45:00,587,9230191688658
Offer 36,O042,9144,623,310,207,2530,2024-03-31 11:20:11,139,9230703883514
Offer 26,O048,8859,379,254,106,2373,2024-04-29 11:03:41,86,9230626020914
Offer 12,O011,1025,604,435,179,953,2023-07-15 17:03:39,229,9230710465361
Offer 26,O043,5205,718,374,28,880,2024-08-14 15:36:10,669,9230693732136
Offer 9,O015,4295,907,277,291,2391,2023-05-16 04:16:25,635,9230865836147
Offer 26,O019,4086,825,285,273,2743,2024-05-04 11:22:43,246,9230693732136
Offer 21,O010,1027,889,105,258,1045,2024-08-01 23:55:42,816,9230349006281
Offer 9,O025,1371,302,299,25,1866,2024-08-21 02:55:41,313,9230582461373
Offer 43,O025,614,570,421,96,809,2024-08-30 14:19:26,516,9230372079637
Offer 50,O027,7633,991,482,123,353,2023-06-03 02:10:38,278,9230889042748
Offer 24,O008,7549,754,306,166,1566,2024-02-29 13:21:22,497,9230232190327
Offer 26,O039,2658,519,412,38,996,2024-04-18 11:48:46,839,9230773751253
Offer 6,O022,4742,113,191,212,388,2024-09-07 19:31:25,262,9230363807566
Offer 34,O025,2947,540,196,44,2209,2024-07-15 07:27:43,698,9230132527460
Offer 19,O042,1858,263,422,53,1662,2024-08-07 10:27:53,908,9230740178078
Offer 8,O037,7867,938,66,272,1393,2024-11-13 12:40:41,69,9230262593890
Offer 34,O024,3769,202,384,48,768,2023-07-24 21:11:50,475,9230233566905
Offer 17,O022,4682,346,313,207,2162,2023-01-17 06:07:05,169,9230801432971
Offer 19,O040,2558,589,163,199,1134,2024-08-12 02:56:53,858,9230297542011
Offer 40,O043,8133,163,285,120,1647,2023-03-04 15:13:33,94,9230383558530
Offer 24,O044,4077,897,496,216,2172,2024-09-07 10:57:37,69,9230578964248
Offer 48,O004,6617,100,449,246,975,2024-09-29 04:43:56,661,9230560138149
Offer 30,O033,2097,241,135,174,2209,2024-10-28 16:54:31,469,9230293952148
Offer 50,O035,4986,208,301,205,427,2023-02-15 19:08:03,584,9230841273951
Offer 2,O034,2734,202,58,149,2623,2024-09-13 18:29:26,126,9230135697838
Offer 12,O014,2227,636,183,68,1437,2023-03-22 01:27:08,840,9230484748077
Offer 40,O048,4342,902,292,253,2271,2024-04-27 09:47:24,902,9230457133173
Offer 1,O013,1729,886,96,191,1118,2024-05-07 18:06:44,506,9230859659207
Offer 7,O004,9423,613,88,236,2722,2023-09-08 11:39:41,681,9230130862663
Offer 11,O047,5546,472,188,110,2119,2024-06-21 02:51:43,700,9230375319344
Offer 20,O012,6475,624,245,242,1740,2024-04-14 22:55:19,280,9230386899259
Offer 3,O004,3829,571,339,280,2864,2024-11-05 14:26:15,651,9230801432971
Offer 49,O019,7769,417,215,235,770,2024-02-19 20:45:06,115,9230691534638
Offer 5,O040,7271,903,87,104,695,2024-09-21 22:17:47,291,9230265833817
Offer 8,O042,3771,602,204,36,723,2023-04-24 12:24:19,868,9230935333762
Offer 27,O008,2669,749,448,252,251,2023-12-02 04:39:51,492,9230395884015
Offer 16,O006,872,814,320,113,864,2024-07-31 14:01:37,213,9230498727181
Offer 34,O036,6897,787,480,158,1916,2024-03-12 15:11:21,900,9230804848289
Offer 32,O042,4026,490,355,177,1310,2023-08-01 06:17:40,466,9230531073886
Offer 44,O014,4034,485,476,137,2290,2023-09-07 00:31:17,855,9230445523109
Offer 41,O011,4191,462,313,186,1259,2024-04-25 12:02:31,902,9230189367566
Offer 4,O022,2185,614,452,80,854,2024-10-15 01:05:24,804,9230284966704
Offer 42,O014,5715,782,379,129,421,2024-05-15 13:16:16,924,9230248021475
Offer 17,O049,5313,278,201,259,2607,2023-11-25 17:05:28,157,9230406147934
Offer 4,O007,1975,401,216,170,1092,2023-11-25 01:16:14,201,9230879557130
Offer 14,O028,3186,608,307,237,2921,2023-12-05 22:27:12,932,9230693732136
Offer 36,O026,5992,371,384,160,303,2023-11-26 01:25:50,429,9230368714655
Offer 13,O025,2338,310,142,294,2369,2024-04-29 17:53:06,167,9230718459155
Offer 6,O049,765,359,215,145,2735,2024-10-30 23:13:11,220,9230951173620
Offer 37,O041,7923,302,339,198,2893,2023-04-04 13:50:15,229,9230488909528
Offer 4,O021,5276,335,397,42,2660,2023-07-12 18:59:03,676,9230242009124
Offer 3,O017,8769,654,433,253,1198,2024-12-26 09:24:25,625,9230975398588
Offer 3,O033,791,617,299,239,280,2024-06-22 00:27:30,352,9230782878829
Offer 38,O042,3358,598,493,287,1167,2023-03-30 15:41:50,59,9230894240000
Offer 29,O026,4304,603,64,194,2691,2023-11-22 17:19:23,440,9230369808467
Offer 30,O030,9821,158,236,96,2721,2023-03-05 16:34:03,948,9230744398113
Offer 21,O023,9260,174,107,292,2417,2023-08-15 17:27:27,577,9230237322715
Offer 45,O030,1716,758,236,281,1614,2023-03-07 19:07:56,498,9230841273951
Offer 38,O008,840,839,363,32,2985,2023-02-25 01:50:17,668,9230926844978
Offer 47,O023,6895,716,204,181,2611,2023-01-30 19:08:19,856,9230659891639
Offer 14,O027,7300,968,375,108,1523,2024-05-17 12:04:22,310,9230927917724
Offer 3,O019,8129,399,230,219,2168,2023-06-14 06:25:32,415,9230913662608
Offer 33,O024,1346,632,345,267,371,2023-02-13 11:35:34,788,9230536743904
Offer 48,O023,6031,723,82,63,1528,2023-02-27 01:19:22,667,9230533562002
Offer 7,O010,8294,621,279,104,2274,2024-05-21 06:11:47,587,9230898156533
Offer 23,O033,3666,373,331,56,840,2023-05-28 00:34:39,632,9230177089747
Offer 45,O011,9730,173,462,206,2050,2023-09-02 08:51:20,830,9230625617252
Offer 43,O029,6857,464,217,173,2450,2023-03-15 21:24:53,896,9230518716541
Offer 5,O019,7200,412,252,162,841,2024-10-05 03:49:21,861,9230134569915
Offer 17,O034,5274,337,475,45,2012,2023-06-04 15:03:32,154,9230283219045
Offer 16,O002,8020,691,66,75,2041,2024-11-24 08:11:50,348,9230324505412
Offer 17,O018,2253,162,330,292,2884,2024-02-12 04:51:09,800,9230411287976
Offer 39,O029,6063,906,477,147,1164,2023-05-08 10:39:38,714,9230533971297
Offer 28,O025,581,355,55,170,1948,2023-06-29 13:37:48,431,9230957219651
Offer 42,O022,9634,649,494,146,2007,2023-04-13 12:24:09,128,9230549696488
Offer 24,O050,3327,528,95,205,2756,2024-12-14 23:04:42,977,9230128026064
Offer 19,O029,8492,198,189,83,2336,2024-12-26 10:20:46,428,9230386899259
Offer 17,O048,1127,870,326,211,1750,2023-12-10 06:21:12,613,9230874591636
Offer 11,O032,1841,827,283,74,1532,2023-09-22 09:58:02,383,9230532570407
Offer 37,O010,3906,643,236,282,1271,2023-06-01 22:48:32,616,9230590622845
Offer 39,O043,2670,362,246,272,2614,2024-06-10 12:23:10,134,9230901697602
Offer 45,O004,679,733,156,114,1813,2023-10-08 01:35:00,595,9230407100763
Offer 12,O043,9808,210,326,196,678,2024-04-21 19:45:11,338,9230239925602
Offer 27,O047,5124,580,442,150,1605,2024-04-13 10:27:49,82,9230416880924
Offer 1,O048,1849,559,279,81,1706,2024-04-08 23:10:52,481,9230182771385
Offer 30,O021,2103,188,169,263,2402,2023-10-07 17:34:40,321,9230498727181
Offer 27,O014,2999,968,493,118,1056,2023-08-30 00:07:15,563,9230993322733
Offer 35,O041,2628,370,438,190,2354,2024-11-19 03:18:22,734,9230210475028
Offer 34,O003,5103,368,306,224,2103,2023-04-01 21:47:58,974,9230113042916
Offer 5,O032,4448,317,164,56,1742,2023-03-22 01:02:50,163,9230538379054
Offer 21,O045,9236,704,113,275,475,2023-08-20 22:24:20,777,9230430137914
Offer 11,O021,7799,409,172,269,1651,2023-05-01 10:30:37,335,9230734656004
Offer 5,O050,8935,882,445,116,2997,2023-12-09 09:08:59,128,9230894993614
Offer 41,O026,1246,311,129,274,1531,2024-03-13 23:52:08,980,9230854996962
Offer 27,O027,2936,692,89,184,379,2023-02-09 19:43:54,473,9230166511912
Offer 34,O030,6894,273,459,138,1711,2023-09-11 20:50:11,917,9230232190327
Offer 35,O021,7342,316,225,156,1839,2023-05-21 20:36:07,616,9230901697602
Offer 29,O020,2988,593,394,253,2302,2023-11-29 07:28:13,460,9230156332171
Offer 41,O005,9199,265,455,56,661,2024-05-09 04:33:53,151,9230771370719
Offer 12,O045,4927,386,431,174,870,2024-08-21 09:36:00,159,9230712491291
Offer 24,O049,4859,414,113,156,1720,2024-04-25 16:40:34,597,9230453084420
Offer 9,O033,3171,861,111,29,2532,2023-05-08 12:05:49,994,9230750008450
Offer 41,O025,5997,392,423,77,718,2023-04-02 01:27:29,532,9230906222160
Offer 14,O037,7816,991,170,235,1159,2024-11-24 00:09:35,522,9230575260490
Offer 39,O003,6052,604,304,270,2495,2024-12-11 00:27:53,379,9230156332171
Offer 32,O005,1344,902,260,288,929,2023-12-31 01:05:46,869,9230297580025
Offer 49,O046,3766,393,487,276,2587,2024-08-24 08:07:45,260,9230805812231
Offer 40,O040,1731,707,187,180,2352,2023-02-10 08:05:19,247,9230479530239
Offer 27,O039,7854,853,356,194,543,2023-09-18 07:54:46,450,9230949419871
Offer 40,O006,3914,883,99,75,2280,2023-04-19 04:58:05,887,9230232190327
Offer 26,O012,1573,447,106,135,2199,2023-12-11 05:11:50,822,9230308743962
Offer 4,O042,8989,807,387,104,393,2024-08-19 23:53:36,124,9230636066934
Offer 34,O050,3300,563,315,214,372,2023-01-05 18:26:03,719,9230504769021
Offer 38,O027,3821,903,58,122,485,2023-07-28 16:05:21,345,9230498727181
Offer 13,O014,9371,903,326,135,1674,2024-09-01 22:00:49,591,9230636066934
Offer 27,O022,1530,428,450,107,1135,2023-03-21 07:00:18,928,9230513601178
Offer 15,O036,2309,308,153,142,1431,2023-06-15 13:37:02,191,9230526661255
Offer 4,O039,5125,625,109,256,2943,2024-10-22 09:18:03,842,9230584157454
Offer 28,O002,4621,667,216,243,2479,2024-09-27 18:53:18,671,9230354967134
Offer 29,O044,7962,857,274,150,2166,2023-08-07 20:36:59,344,9230259441946
Offer 49,O006,4556,620,92,110,2636,2024-12-16 07:25:32,114,9230578964248
Offer 14,O030,4202,146,88,69,1852,2023-09-12 01:43:39,466,9230751286997
Offer 16,O005,6647,999,441,161,1740,2023-08-05 07:54:13,579,9230681362355
Offer 2,O023,801,119,497,164,2715,2023-10-25 01:32:52,324,9230130432269
Offer 24,O043,9997,840,457,156,2749,2023-10-14 14:12:55,426,9230756956744
Offer 11,O039,9497,940,319,113,1170,2023-08-15 02:45:38,632,9230863763764
Offer 40,O013,2958,860,441,107,1092,2023-10-21 20:59:51,615,9230949419871
Offer 19,O019,9784,540,231,289,2739,2024-12-26 17:36:09,276,9230770746433
Offer 1,O026,3975,230,494,227,2559,2023-08-10 20:42:15,745,9230542774756
Offer 36,O049,3456,863,441,204,954,2024-03-20 18:15:57,329,9230383558530
Offer 12,O025,2604,198,300,131,2607,2024-02-01 15:16:39,71,9230135697838
Offer 34,O049,4996,560,318,247,1343,2024-06-09 03:58:13,714,9230101039883
Offer 3,O012,6475,395,68,171,885,2023-10-16 16:48:45,613,9230801432971
Offer 2,O009,4926,769,149,63,1387,2024-07-22 19:54:54,927,9230929167854
Offer 27,O030,4527,804,113,205,2280,2023-07-12 07:48:46,62,9230758196297
Offer 40,O048,7452,959,129,99,586,2024-09-14 07:23:52,806,9230164210176
Offer 9,O007,1623,698,475,62,1848,2023-09-13 00:08:36,774,9230206172868
Offer 3,O010,4029,649,202,88,1637,2023-01-10 14:20:36,245,9230504769021
Offer 12,O019,5252,360,183,230,2230,2023-08-30 22:58:50,340,9230829631581
Offer 24,O025,6541,883,112,104,682,2024-03-16 02:08:50,799,9230469090751
Offer 44,O024,1848,149,283,145,983,2023-06-04 20:27:53,67,9230999762562
Offer 10,O028,1477,997,364,194,1175,2023-10-11 05:12:32,718,9230269592945
Offer 7,O004,2041,592,452,174,343,2024-08-25 19:55:17,530,9230583143146
Offer 42,O039,5785,888,167,69,826,2023-05-17 04:46:12,125,9230174392318
Offer 23,O019,8836,745,182,133,2773,2023-10-15 16:04:09,852,9230353836706
Offer 17,O012,2354,388,156,54,2165,2023-06-02 08:03:40,841,9230243910318
Offer 6,O006,1635,881,402,258,2656,2023-03-12 23:35:50,553,9230134569915
Offer 49,O034,9415,846,493,101,232,2024-06-11 02:16:48,156,9230141002657
Offer 50,O042,2084,827,416,84,727,2023-04-19 11:32:27,242,9230590622845
Offer 16,O004,4924,911,159,173,2775,2023-02-28 20:11:58,986,9230600587929
Offer 29,O030,9970,943,329,165,1008,2024-08-31 07:26:35,873,9230541679053
Offer 32,O039,2340,686,415,49,2298,2024-11-28 21:42:37,613,9230230356648
Offer 7,O047,6599,251,429,259,517,2023-03-12 20:44:36,549,9230265833817
Offer 30,O038,8065,639,475,271,1701,2024-03-05 21:28:08,210,9230286090141
Offer 34,O027,4288,397,93,235,2295,2023-07-12 08:29:04,685,9230874591636
Offer 8,O048,539,820,436,142,2811,2024-09-25 16:19:27,552,9230277713469
Offer 10,O034,8037,109,83,44,2685,2024-12-30 02:49:19,364,9230691534638
Offer 40,O035,4098,199,481,292,646,2023-08-10 07:20:41,648,9230889042748
Offer 2,O028,5246,772,210,177,2148,2024-08-30 03:20:53,691,9230363807566
Offer 49,O040,7449,347,87,205,2848,2023-12-02 12:09:21,583,9230952507106
Offer 21,O048,2410,815,365,104,1664,2024-08-04 17:30:45,603,9230823544998
Offer 24,O013,6039,387,55,94,1430,2024-06-04 11:06:49,160,9230484748077
Offer 24,O029,914,589,362,183,226,2023-11-26 14:21:15,1000,9230276660407
Offer 22,O040,3582,629,195,36,2963,2023-06-04 20:56:26,592,9230338505901
Offer 30,O004,3787,191,250,116,970,2023-03-10 08:40:21,121,9230510851164
Offer 23,O005,6318,868,230,241,1190,2023-11-15 06:10:54,938,9230533971297
Offer 16,O038,2740,197,168,208,254,2023-08-22 15:40:16,74,9230870299395
Offer 50,O041,3490,286,473,173,932,2023-11-26 21:46:06,731,9230525329325
Offer 12,O008,7664,956,141,28,1795,2023-09-16 06:29:59,635,9230913067921
Offer 45,O026,1139,908,248,160,1639,2023-08-27 13:37:54,649,9230894240000
Offer 43,O031,3529,511,335,170,2155,2024-06-15 08:59:24,933,9230788912728
Offer 2,O047,8885,957,169,225,2963,2024-09-19 21:39:17,747,9230830363551
Offer 47,O004,1787,580,451,130,2629,2024-02-28 10:19:45,265,9230717631811
Offer 16,O003,4125,289,378,193,1468,2024-02-16 21:07:28,237,9230218302795
Offer 43,O017,1599,379,172,39,2977,2023-02-15 20:47:41,456,9230232190327
Offer 35,O036,7832,263,329,173,1457,2024-05-19 09:06:36,451,9230270449680
Offer 47,O030,4775,499,82,275,639,2023-06-03 00:17:06,312,9230927069977
Offer 16,O038,1423,223,499,218,2071,2023-01-14 16:54:24,894,9230340061181
Offer 3,O024,1475,675,182,242,358,2024-10-26 07:56:59,824,9230460406713
Offer 8,O010,5313,729,59,275,2338,2023-11-18 05:44:17,909,9230993414106
Offer 38,O041,1737,523,205,70,2738,2024-10-11 19:30:04,416,9230491725711
Offer 5,O022,3987,346,478,266,1626,2024-09-20 22:14:41,770,9230131212541
Offer 35,O023,5446,309,483,61,2681,2024-02-10 17:38:32,853,9230216678436
Offer 1,O006,4564,878,316,84,553,2024-09-19 21:58:56,204,9230758196297
Offer 16,O006,4958,509,185,175,291,2023-01-24 17:17:31,438,9230202281036
Offer 18,O032,4077,951,143,77,2055,2023-02-11 11:43:47,876,9230397501087
Offer 9,O040,857,929,151,161,1640,2023-05-20 19:09:40,726,9230993414106
Offer 27,O033,4935,639,227,89,985,2024-01-25 04:03:26,979,9230560138149
Offer 20,O005,5963,630,409,200,1925,2023-07-31 10:37:30,464,9230440406252
Offer 8,O034,7660,758,207,71,2256,2023-12-15 12:10:06,662,9230701523260
Offer 33,O026,9340,815,121,84,2699,2023-12-31 04:03:25,611,9230677273280
Offer 6,O016,3268,763,328,173,2805,2024-01-13 06:38:19,646,9230101039883
Offer 5,O023,8321,445,104,127,1986,2023-12-15 19:31:41,294,9230560138149
Offer 10,O031,8992,268,166,197,1611,2024-02-07 00:47:45,407,9230104488435
Offer 44,O020,2961,980,228,263,440,2023-11-24 02:55:52,490,9230663695123
Offer 46,O049,7836,504,275,222,755,2023-08-21 09:30:07,941,9230175549082
Offer 50,O040,8502,430,270,164,467,2024-04-12 00:57:38,661,9230549696488
Offer 20,O044,7462,772,438,192,2143,2023-12-17 12:38:39,942,9230863903371
Offer 17,O037,4572,564,416,168,836,2024-11-06 15:50:55,912,9230610000463
Offer 42,O026,8149,430,209,189,2528,2024-12-14 11:08:22,194,9230221414651
Offer 31,O036,526,836,123,124,1390,2023-09-27 01:47:57,168,9230929167854
Offer 31,O016,8906,591,68,261,2855,2024-09-30 12:57:55,462,9230535496574
Offer 13,O041,8002,328,183,94,1716,2023-03-31 12:24:09,173,9230489567018
Offer 24,O009,3672,288,151,126,897,2024-03-23 14:21:30,940,9230280094327
Offer 33,O005,6741,451,399,57,2410,2023-03-21 18:21:59,193,9230578964248
Offer 31,O027,5861,507,258,290,1497,2024-10-03 16:03:36,175,9230382598306
Offer 39,O049,3710,107,205,48,2498,2023-10-16 15:37:02,577,9230128262006
